SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,PILE_VOLUME,BURN_NAME,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
1327,NA,452,0,NA,Gambels Basin Prescribed Burn,USDI-BLM-Worland Field Office,44.38719167,-109.6131167,Incomplete
1948,2016-04-08,300,300,NA,Medicine Lodge Rx,USDI-BLM-Worland Field Office,44.38,-107.47,Complete
767,NA,620,0,NA,Dry Medicine Creek,USDA-USFS-Big Horn NF-Lovell RD,44.37861111,-107.4422222,Incomplete
1067,2012-04-06,620,620,NA,Dry Medicine Creek,USDA-USFS-Big Horn NF-Lovell RD,44.37861111,-107.4422222,Complete
1070,NA,1400,0,NA,Mill Creek-Dry Medicine/Cold Springs,USDA-USFS-Big Horn NF-Lovell RD,44.37843889,-107.4265778,Incomplete
1369,NA,1400,0,NA,Mill Creek-Unit 2 & 3,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,44.37843889,-107.4265778,Incomplete
1551,2014-09-25,1000,1000,NA,Mill Creek-Unit #3,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,44.36550278,-107.4034889,Complete
3789,NA,300,0,NA,Medicine Lodge RX,NA,44.35,-107.52,Incomplete
1800,NA,300,0,NA,Medicine Lodge RX,USDI-BLM-Worland Field Office,44.35,-107.52,Incomplete
3130,NA,300,0,NA,Medicine Lodge RX,USDI-BLM-Worland Field Office,44.35,-107.52,Incomplete
3304,NA,300,0,NA,Medicine Lodge RX,USDI-BLM-Worland Field Office,44.35,-107.52,Incomplete
3613,NA,200,0,NA,Medicine Lodge RX,Wind River Bighorn Basin District BLM,44.35,-107.52,Incomplete
1756,2015-03-30,1125,1125,NA,Matthews Ridge,USDA-USFS-Bighorn NF,44.34,-107.44,Complete
2000,2016-04-07,900,900,NA,Matthews Ridge,USDA-USFS-Bighorn NF,44.34,-107.44,Complete
3120,2017-07-11,900,900,NA,Mattews Ridge,USDA-USFS-Shoshone NF-Greybull RD,44.34,-107.44,Complete
1506,2014-02-26,4,4,124050,Marquette TS Piles 2014,USDA-USFS-Shoshone NF-Wapiti RD,44.32277778,-109.2225,Complete
961,2011-12-20,92,92,321475,Marquette Timber Sale Piles 2012,USDA-USFS-Shoshone NF-Cody RD,44.32277778,-109.2225,Complete
1256,2012-12-18,1,1,176150,USDA-USFS-Shoshone NF-Wapiti RD,USDA-USFS-Shoshone NF-Wapiti RD,44.32277778,-109.2225,Complete
1257,2012-12-19,3,3,17686,Kirwin 2012,USDA-USFS-Shoshone NF-Wapiti RD,44.32277778,-109.2952778,Complete
1258,2012-12-18,3,3,176150,Marquette TS 2012a,USDA-USFS-Shoshone NF-Wapiti RD,44.32277778,-109.2225,Complete
1734,2015-01-27,4,4,198180,Marquette TS,USDI-NPS-Yellowstone NP,44.32,-109.22,Complete
1895,NA,8,0,145050,Marquette TS,USDA-USFS-Shoshone NF,44.32,-109.22,Incomplete
1904,2015-12-16,125,125,2500000,Rattlesnake Canyon Machine Piles 2015,USDA-USFS-Black Hills NF-Bearlodge RD,44.32,-104.12,Complete
1968,2016-12-12,8,8,145050,Marquette TS,USDA-USFS-Shoshone NF-Wapiti RD,44.32,-109.22,Complete
1979,2016-01-11,NA,NA,NA,Rattlesnake Canyon Machine Piles 2016,USDA-USFS-Black Hills NF-Bearlodge RD,44.32,-104.12,Complete
1674,NA,4,0,198180,Marquette TS,USDA-USFS Shoshone National Forest,44.318078,-109.224246,Incomplete
1120,2012-04-10,50,50,NA,Carter Mountain Unit 2 Prescribed Burn 2012,USDA-USFS-Shoshone NF-Wapiti RD,44.31666667,-109.2416667,Complete
1240,NA,445,0,5000,South Bearlodge Machine Piles,USDA-USFS-Black Hills NF-Bearlodge RD,44.3129973,-104.1725102,Incomplete
1901,NA,NA,0,NA,Wish Handpiles 2015,USDA-USFS-Black Hills NF-Bearlodge RD,44.31,-104.24,Incomplete
3014,NA,700,0,NA,Riflepit RK,USDA-USFS-Black Hills NF-Bearlodge RD,44.31,-104.06,Incomplete
3850,2021-12-01,1000,1000,NA,Buffalo Municipla,NA,44.3,-106.87,Complete
3748,NA,747,0,NA,Buttes RX,NA,44.3,-104.25,Incomplete
3047,NA,300,0,15708,Buckley Timber Sale Machine Pile Disposal,USDA-USFS-Black Hills NF-Bearlodge RD,44.3,-104.2,Incomplete
3091,NA,300,0,15708,Buckley Timber Sale Machine Pile Disposal,USDA-USFS-Black Hills NF-Bearlodge RD,44.3,-104.2,Incomplete
3651,2020-12-06,500,500,NA,Buffalo Municipal Watershed,USDA-USFS-Bighorn NF-Powder River RD,44.3,-106.87,Complete
3652,NA,747,0,NA,Buttes RX,USDA-USFS-Black Hills NF-Bearlodge RD,44.3,-104.25,Incomplete
958,2011-12-14,60,60,392999,Carter Mountain Timber Sale Piles 2012,USDA-USFS-Shoshone NF-Cody RD,44.29611111,-109.2630556,Complete
916,2011-10-04,778,778,NA,Carter Mountain Unit I,USDA-USFS-Shoshone NF,44.28805556,-109.2891667,Complete
1774,NA,300,0,NA,Battle Park  Allotment,USDA-USFS-Bighorn NF,44.27,-107.35,Incomplete
1926,NA,500,0,NA,Battle Park Allotment 2016,USDA-USFS-Bighorn NF-Powder River RD,44.27,-107.35,Incomplete
1612,2014-09-08,1000,1000,NA,Battle Park Allotment,USDA-USFS-Bighorn NF-Powder River RD,44.26805556,-107.3463889,Complete
746,2011-09-29,1000,1000,NA,Battle Park Allotment,USDA-USFS-Big Horn NF-Buffalo RD,44.26805556,-107.3463889,Complete
1127,NA,1000,0,NA,Battle Park Allotment,USDA-USFS-Big Horn NF-Buffalo RD,44.26805556,-107.3463889,Incomplete
1415,NA,1000,0,NA,Battle Park Allotment,USDA-USFS-Bighorn NF-Buffalo RD,44.26805556,-107.3463889,Incomplete
788,2011-03-10,30,30,3500,River Tracts,USDI-BLM-Wind River/Big Horn Basin District,44.26222222,-107.9588889,Complete
618,NA,500,0,NA,South Buck Creek Vees,USDA-USFS-Big Horn NF-Powder River RD,44.2617774,-107.3354779,Incomplete
3345,NA,1500,0,NA,Moskee RX,USDA-USFS-Black Hills NF-Bearlodge RD,44.24,-104.08,Incomplete
3687,NA,5875,0,NA,Moskee RX,NA,44.24,-104.08,Incomplete
3749,NA,1500,0,NA,Moskee,NA,44.24,-104.08,Incomplete
3182,NA,5875,0,NA,Moskee RX,USDA-USFS-Black Hills NF-Bearlodge RD,44.24,-104.08,Incomplete
937,NA,346,0,6000,South Bearlodge Machine Piles,USDA-USFS-Black Hills NF-Bearlodge RD,44.23408083,-104.0825728,Incomplete
1353,2013-01-14,445,445,2225000,South Bearlodge Machine Piles,USDA-USFS-Black Hills NF-Bearlodge RD,44.2250431,-104.1729115,Complete
619,2010-11-26,277,277,NA,South Fork Paint Rock,USDA-USFS-Big Horn NF-Powder River RD,44.2179747,-107.3155163,Complete
1925,NA,500,0,NA,Zaybrook Allotment 2016,USDA-USFS-Bighorn NF-Powder River RD,44.21,-107.28,Incomplete
1614,2014-09-17,1000,1000,NA,Zaybrook Allotment,USDA-USFS-Bighorn NF-Powder River RD,44.20694444,-107.2788889,Complete
1413,NA,1000,0,NA,Zaybrook Allotment,USDA-USFS-Bighorn NF-Buffalo RD,44.2034882,-107.275238,Incomplete
3343,NA,1500,0,NA,Dry Tensleep Allotment 2018,USDA-USFS-Bighorn NF-Powder River RD,44.19,-107.31,Incomplete
3512,NA,NA,0,NA,Dry Tensleep Allotment,USDA-USFS-Bighorn NF-Powder River RD,44.19,-107.31,Incomplete
897,2011-10-05,250,250,NA,Hooligan Springs Rx,USDI-BLM-Worland Field Office,44.18022222,-107.3726667,Complete
1060,2012-03-24,250,250,NA,Hooligan Springs Rx,USDI-BLM-Worland Field Office,44.18022222,-107.3726667,Complete
1326,NA,200,0,NA,Hooligan Springs Rx,USDI-BLM-Worland Field Office,44.18022222,-107.3726667,Incomplete
1543,2014-04-24,200,200,NA,Hooligan Springs Rx,USDI-BLM-Worland Field Office,44.18022222,-107.3726667,Complete
3790,NA,200,0,NA,Hooligan Springs RX,USDI-BLM-Worland Field Office,44.18,-107.37,Incomplete
1786,2015-02-24,NA,NA,2341,Four Bear Aspen Enhancement,USDI-BLM-Cody Field Office,44.18,-109.29,Complete
1949,2016-04-13,300,300,NA,Hooligan Springs Rx,USDI-BLM-Worland Field Office,44.18,-107.37,Complete
1809,2015-04-07,200,200,NA,Hooligan Springs RX,USDI-BLM-Worland Field Office,44.18,-107.37,Complete
3129,NA,200,0,NA,Hooligan Springs RX,USDI-BLM-Worland Field Office,44.18,-107.37,Incomplete
3303,NA,200,0,NA,Hooligan Springs RX,USDI-BLM-Worland Field Office,44.18,-107.37,Incomplete
3476,NA,200,0,NA,Hooligan Springs,USDI-BLM-Worland Field Office,44.18,-107.52,Incomplete
3612,NA,150,0,NA,Hooligan Springs RX,Wind River Bighorn Basin District BLM,44.18,-107.37,Incomplete
564,NA,130,0,72000,West Slope of Big Horns Slash Piles - Juniper TA11,USDI-BLM-North Zone-Worland Field Office,44.173064,-107.353345,Incomplete
1580,2014-11-13,30,30,30000,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17191667,-107.3494722,Complete
942,2011-11-09,1500,1500,72000,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17191667,-107.3494722,Complete
1062,2012-11-15,NA,NA,72000,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17191667,-107.3494722,Complete
1360,NA,1500,0,30000,West Slope Big Horns/Markham Draw,USDI-BLM-Wind River/Bighorn Basin District BLM,44.17191667,-107.3494722,Incomplete
947,NA,NA,0,250000,West Ten Timber Sale Slash Piles,USDA-USFS-Big Horn NF-Buffalo RD,44.17027778,-107.25,Incomplete
3791,NA,NA,0,8305,Markham Draw,NA,44.17,-107.43,Incomplete
1810,NA,30,0,30000,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17,-107.35,Incomplete
1946,NA,NA,0,8305,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17,-107.35,Incomplete
3132,NA,NA,0,8305,West Slope Big Horns/Markham Draw,USDI-BLM-Worland Field Office,44.17,-107.35,Incomplete
3302,NA,NA,0,8305,West Slope Big horns/Markham Draw,USDI-BLM-Worland Field Office,44.17,-107.35,Incomplete
3477,NA,NA,0,8305,West Slope Big Horns/ Markham Draw,USDI-BLM-Worland Field Office,44.17,-107.35,Incomplete
3611,NA,20,0,8305,Markham Draw,Wind River Bighorn Basin District BLM,44.17,-107.35,Incomplete
681,NA,3785,0,NA,South Canyon Allotment Prescribed Burn,USDA-USFS-Big Horn NF-Buffalo RD,44.15722222,-107.2622222,Incomplete
964,NA,10,0,33054,South Fork Guard Station Piles 2012,USDA-USFS-Shoshone NF-Wapiti RD,44.15333333,-109.6066667,Incomplete
1323,2013-01-15,10,10,33054,South Fork Guard Station Piles 2013,USDA-USFS-Shoshone NF-Wapiti RD,44.15333333,-109.6066667,Complete
1507,2014-01-06,18,18,10267,South Fork Guard Station Piles 2014,USDA-USFS-Shoshone NF-Wapiti RD,44.15333333,-109.6066667,Complete
748,NA,200,0,NA,High Park,USDA-USFS-Big Horn NF-Buffalo RD,44.15,-107.1958333,Incomplete
1128,NA,200,0,NA,High Park,USDA-USFS-Big Horn NF-Buffalo RD,44.15,-107.1958333,Incomplete
3771,NA,NA,0,1590950,South Fork Area Piles,NA,44.15,-109.62,Incomplete
1754,NA,36,0,2094,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.15,-104.64,Incomplete
1990,NA,36,0,NA,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.15,-104.64,Incomplete
3098,2017-01-18,36,36,NA,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.15,-107.64,Complete
3438,NA,NA,0,1590950,South Fork Area Piles,USDA-USFS-Shoshone NF-Wapiti RD,44.15,-109.62,Incomplete
3597,NA,NA,0,1590950,South Fork Area Piles,USDA-USFS-Shoshone NF-Wapiti RD,44.15,-109.62,Incomplete
1254,NA,700,0,NA,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.14525,-104.6352778,Incomplete
1383,2013-01-30,700,700,NA,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.14525,-104.6352778,Complete
1500,2014-02-05,700,700,NA,Upton/Osage,USDA-USFS-Medicine Bow-Routt NF & Thunder Basin NG-Douglas RD,44.14525,-104.6352778,Complete
1072,NA,219,0,524230,Buckhorn Pile Burning,Wyoming State Forestry Division,44.14513861,-104.0859492,Incomplete
1268,NA,6,0,40000,Billy Creek 2 Sale,Wyoming State Forestry Division,44.14158333,-106.9034167,Incomplete
1305,2013-01-17,NA,NA,40000,Billy Creek Hazard Mitigation Pile,Wyoming State Forestry Division,44.14158333,-106.9034167,Complete
1306,2013-01-17,0,NA,30000,Billy Creek Hazard Mitigation Pile,Wyoming State Forestry Division,44.14158333,-106.9034167,Complete
1775,NA,300,0,NA,Tensleep Canyon Allotment,USDA-USFS-Bighorn NF,44.14,-107.26,Incomplete
3608,NA,NA,0,NA,Piney Creek,NA,44.14,-105.5,Incomplete
745,2011-05-06,1200,1200,NA,Tensleep Canyon Allotment,USDA-USFS-Big Horn NF-Buffalo RD,44.13694444,-107.2544444,Complete
1126,2012-04-05,1200,1200,NA,Tensleep Canyon Allotment,USDA-USFS-Big Horn NF-Buffalo RD,44.13694444,-107.2544444,Complete
1414,NA,1000,0,NA,Tensleep Canyon Allotment,USDA-USFS-Bighorn NF-Buffalo RD,44.13361111,-107.2633333,Incomplete
1613,NA,1000,0,NA,Tensleep Canyon Allotment,USDA-USFS-Bighorn NF-Powder River RD,44.13361111,-107.2633333,Incomplete
785,NA,0,0,10000,Billy Creek Hazard Mitigation Pile,Wyoming State Forestry Division,44.13347083,-106.9000569,Incomplete
1108,2012-03-07,0,NA,30000,Billy Creek Hazard Mitigation Pile,Wyoming State Forestry Division,44.13347083,-106.9000569,Complete
652,NA,40,0,2880,Smith Piles,"Fire Trax, LLC",44.13333333,-106.9666667,Incomplete
3870,NA,892,0,NA,Tensleep Canyon,USDA-USFS-Bighorn NF-Tongue RD,44.13,-107.26,Incomplete
1919,NA,NA,0,819095,Stateline Timber Sale,Wyoming State Forestry Division,44.13,-104.06,Incomplete
1924,NA,500,0,NA,Tensleep Canyon Allotment 2016,USDA-USFS-Bighorn NF-Powder River RD,44.13,-107.26,Incomplete
1934,NA,NA,0,819095,Stateline Timber Sale,Wyoming State Forestry Division,44.13,-104.06,Incomplete
3798,NA,NA,0,NA,Piney,NA,44.13,-104.5,Incomplete
1504,NA,4,0,32875,Cabin Creek Piles 2014,USDA-USFS-Shoshone NF-Wapiti RD,44.12527778,-109.6383333,Incomplete
1776,NA,300,0,NA,South Slope RX,USDA-USFS-Bighorn NF,44.12,-106.92,Incomplete
1854,2015-12-16,NA,NA,29452,Hell Canyon Piles 2015,USDA-USFS-Black Hills NF-Hell Canyon RD,44.12,-104.11,Complete
1922,2016-02-03,NA,NA,706848,Hell Canyon Piles 2016,USDA-USFS-Black Hills NF-Hell Canyon RD,44.12,-104.11,Complete
1927,NA,300,0,NA,South Slope 2016,USDA-USFS-Bighorn NF-Powder River RD,44.12,-106.92,Incomplete
1119,2012-03-07,42,42,3500,Billy Creek Slash Piles - CY 2012,USDI-BLM-Buffalo Field Office,44.11936111,-106.8732222,Complete
757,2011-02-02,15,15,1450,Billy Creek Piles,USDI-BLM-Buffalo Field Office,44.11638889,-106.8716667,Complete
797,NA,190,0,18000,High Park Machine Piles,USDA-USFS-Big Horn NF-Buffalo RD,44.1130504,-107.1987096,Incomplete
607,NA,250,0,NA,Rattlesnake Butte,USDI-BLM-Worland Field Office,44.1125,-107.8677778,Incomplete
1563,NA,200,0,270000,West Mallo,Wyoming State Forestry Division,44.1106289,-104.0887263,Incomplete
3191,NA,1500,0,NA,North Canyon Allotment,USDA-USFS-Bighorn NF-Tongue RD,44.11,-107.22,Incomplete
3675,2020-11-06,1500,1500,NA,North Canyon Allotment 2017,USDA-USFS-Bighorn NF-Powder River RD,44.11,-107.22,Complete
588,2009-10-14,100,100,1327500,Billy Creek Hideout Forest & Fuel Treatment,USDI-BLM-Buffalo Field Office,44.1004023,-106.8578811,Complete
1777,NA,300,0,NA,South Canyon Allotment,USDA-USFS-Bighorn NF,44.1,-107.19,Incomplete
747,2011-09-24,1000,1000,NA,Moses Homestead,USDA-USFS-Big Horn NF-Buffalo RD,44.09166667,-107.175,Complete
1578,NA,10,0,2400,10 Mile,USDI-BLM-Worland Field Office,44.08380556,-107.9685944,Incomplete
714,2011-01-18,25,25,2950,10 Mile Pile Burning,USDI-BLM-Wind River/Bighorn Basin District (Worland Field Office),44.08380556,-107.9685833,Complete
1061,NA,10,0,2950,10 Mile,USDI-BLM-Wind River/Big Horn Basin District (Worland Field Office),44.08380556,-107.9685833,Incomplete
1091,NA,30,0,21991,Railroad Tract,USDI-BLM-Wind River/Big Horn Basin District (Worland Field Office),44.08380556,-107.9685833,Incomplete
1359,NA,10,0,2400,10 Mile,USDI-BLM-Wind River/Bighorn Basin District BLM,44.08380556,-107.9685833,Incomplete
3375,NA,200,0,NA,South Canyon Allotment 2018,USDA-USFS-Bighorn NF-Medicine Wheel/Paintrock RD,44.08,-107.18,Incomplete
3518,2019-09-26,200,200,NA,South Canyon Allotment,USDA-USFS-Bighorn NF-Powder River RD,44.08,-107.18,Complete
3818,2021-02-17,NA,NA,259531,Cutler Draw Timber Sale,Wyoming State Forestry Division,44.08,-105.76,Complete
1535,NA,2,0,21164,Clear Creek Piles,Wyoming State Forestry Division,44.06756433,-106.909081,Incomplete
1301,2013-01-23,160,160,20000,Mallow Camp Pile Rx,USDI-BLM-Casper Field Office,44.0664136,-104.0571267,Complete
948,2011-11-08,650,650,320000,Dullknife Timber Sale Slash Piles,USDA-USFS-Big Horn NF-Buffalo RD,44.0575,-107.0469444,Complete
637,NA,NA,0,400,Snake River Pit 2009,"Eagle Rock Timber, Inc.",44.052463,-110.403261,Incomplete
1579,2014-12-02,15,15,50000,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05013889,-107.3359167,Complete
941,2011-11-23,1000,1000,72000,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05013889,-107.3359167,Complete
1063,NA,25,0,72000,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05013889,-107.3359167,Incomplete
1361,NA,20,0,6000,West Slope Big Horns/Sand Draw,USDI-BLM-Wind River/Bighorn Basin District BLM,44.05013889,-107.3359167,Incomplete
1707,NA,15,0,50000,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Incomplete
1731,2015-01-08,30,30,50000,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Complete
1930,2016-01-06,5,5,1685,West Slope Big Horns/Rome Hill,USDI-BLM-Worland Field Office,44.05,-107.34,Complete
1945,2016-04-01,NA,NA,133140,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Complete
3133,NA,NA,0,133140,West Slope Bigh Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Incomplete
3305,NA,NA,0,133140,West Slope Big Horns/ Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Incomplete
3478,NA,NA,0,133140,West Slope Big Horns/Sand Draw,USDI-BLM-Worland Field Office,44.05,-107.34,Incomplete
3614,NA,20,0,133140,Sand Draw,Wind River Bighorn Basin District BLM,44.05,-107.34,Incomplete
3762,NA,1684,0,NA,Timber Creek,NA,44.05,-109.2,Incomplete
781,NA,9,0,20000,Water Aug 2,Wyoming State Foresty Division,44.0393,-107.074,Incomplete
783,NA,16,0,16000,Water Augmentation Fuel Break,Wyoming State Forestry Division,44.0393,-107.074,Incomplete
591,NA,16,0,62400,Water Augmentation Fuel Break,Wyoming State Forestry Division,44.0393,-107.074,Incomplete
653,NA,9,0,20000,Water Aug 2,Wyoming State Forestry Division,44.0393,-107.074,Incomplete
1252,2012-12-11,7,7,12500,Planting Hand Piles,USDA-USFS-Black Hills NF-Bearlodge RD,44.03346583,-104.3902364,Complete
1385,2013-02-20,NA,NA,45000,Planting Leftover Machine Piles,USDA-USFS-Black Hills NF-Bearlodge RD,44.03346583,-104.3902364,Complete
1220,NA,0,0,5236,Powder River Piles,USDI-BLM-High Plains Fire District (Buffalo Field Office),44.03311111,-107.0791944,Incomplete
787,NA,10,0,2200,Powder River Properties,USDI-BLM-Buffalo Field Office,44.03083333,-107.0808333,Incomplete
1915,NA,NA,0,1496660,Sweetwater I,Wyoming State Forestry Division,44.03,-104.2,Incomplete
3881,2021-12-13,NA,NA,229205,Gold Mine Road,Wyoming State Forestry Division,44.03,-107.1,Complete
695,NA,11,0,15000,Doyle Creek,Wyoming State Forestry Division,44.02562,-106.9311,Incomplete
784,NA,11,0,15000,Doyle Creek,Wyoming State Forestry Division,44.02562,-106.9311,Incomplete
1104,NA,11,0,15000,Doyle Creek,Wyoming State Forestry Division,44.02562,-106.9311,Incomplete
1308,NA,11,0,3676,Doyle Creek,Wyoming State Forestry Division,44.02562,-106.9311,Incomplete
1548,NA,11,0,3676,Doyle Creek,Wyoming State Forestry Division,44.02562,-106.9311,Incomplete
1917,NA,NA,0,474580,String_of_40's,Wyoming State Forestry Division,44.01,-104.22,Incomplete
3076,NA,NA,0,474580,String of 40s,Wyoming State Forestry Division,44.01,-104.22,Incomplete
1916,NA,NA,0,2789528,Sweetwater II,Wyoming State Forestry Division,43.99,-104.2,Incomplete
3073,NA,NA,0,2789528,Sweetwater II,Wyoming State Forestry Division,43.99,-104.2,Incomplete
3074,NA,NA,0,414260,Sunny Divide,Wyoming State Forestry Division,43.99,-104.2,Incomplete
3421,2018-12-05,NA,NA,95128,ROW,Wyoming State Forestry Division,43.99,-104.19,Complete
3425,NA,NA,0,505000,Pisgah,NA,43.98,-104.17,Incomplete
527,NA,300,0,NA,Upper Grass Creek Rx,USDI-BLM-Worland Field Office,43.9554087,-108.982686,Incomplete
3788,NA,3935,0,NA,Noon Point RX,NA,43.94,-109.05,Incomplete
1785,NA,565,0,NA,Martin Falxa Ranch 2,Ecosystem Enhancement,43.94,-107.2,Incomplete
3131,NA,1000,0,NA,Noon Point Prescribed Burn,USDI-BLM-Worland Field Office,43.94,-109.05,Incomplete
3301,NA,3935,0,NA,Noon Point RX,USDI-BLM-Worland Field Office,43.94,-109.05,Incomplete
3474,NA,3935,0,NA,Noon Point RX,USDI-BLM-Worland Field Office,43.94,-109.05,Incomplete
3610,NA,200,0,NA,Noon Point RX,Wind River Bighorn Basin District BLM,43.94,-109.05,Incomplete
1247,NA,300,0,NA,Martin Falxa Ranch,Ecosystem Enhancement,43.9390028,-107.137915,Incomplete
1554,NA,300,0,NA,Martin Falxa Ranch,Ecosystem Enhancement,43.9390028,-107.137915,Incomplete
959,2011-12-01,2,2,37043,Double D Ranch Piles 2012,USDA-USFS-Shoshone NF-Cody RD,43.93694444,-109.2183333,Complete
956,2011-11-30,2,2,25400,Wood River Campground Piles 2012,USDA-USFS-Shoshone NF-Cody RD,43.93166667,-109.1316667,Complete
1404,NA,300,0,NA,Martin Falxa Ranch,Ecosystem Enhancement,43.93151001,-107.1428487,Incomplete
801,NA,300,0,NA,Martin Falxa Ranch,"Fire Trax, LLC",43.93151001,-107.1428487,Incomplete
3358,NA,1573,0,NA,Wood River,USDI-BLM-Rawlins Field Office,43.93,-109.16,Incomplete
3434,NA,1573,0,NA,Wood River,USDA-USFS-Shoshone NF-Wapiti RD,43.93,-109.16,Incomplete
3593,NA,1573,0,NA,Wood River,USDA-USFS-Shoshone NF-Wapiti RD,43.93,-109.16,Incomplete
3767,NA,1573,0,NA,Wood River,NA,43.93,-109.16,Incomplete
1950,NA,5,0,3000,Absaroka Front Slash Pile Buns,USDI-BLM-Worland Field Office,43.92,-108.97,Incomplete
3128,NA,5,0,3000,Absoraka Front Slash Pile Burns,USDI-NPS-Grand Teton NP,43.92,-108.97,Incomplete
3138,2017-06-12,46,46,90500,Jackpine Loop Pile Burning,USDA-USFS-Caribou-Targhee NF-Teton Basin RD,43.92,-111,Complete
1577,NA,5,0,3000,Absaroka Front Slash Pile Burns - Deer Creek,USDI-BLM-Worland Field Office,43.91736389,-108.9709278,Incomplete
1044,NA,12,0,72000,Absaroka Front Slash Pile Burns - Deer Creek,USDI-BLM-Worland Field Office,43.91736389,-108.9709278,Incomplete
1059,NA,12,0,72000,Absaroka Front Slash Pile Burns - Deer Creek,USDI-BLM-Worland Field Office,43.91736389,-108.9709278,Incomplete
1358,NA,5,0,3000,Absaroka Front Slash Pile Burns - Deer Creek,USDI-BLM-Worland Field Office,43.91736389,-108.9709278,Incomplete
3221,2017-11-13,NA,NA,69940,Spring Run Piles,Wyoming State Forestry Division,43.9,-106.97,Complete
720,NA,371,0,NA,Matilda,USDI-NPS-Grand Teton NP,43.879125,-110.5004611,Incomplete
1668,NA,2,0,18000,Kirwin,NA,43.876377,-109.293631,Incomplete
1186,NA,335,0,NA,Matilda,USDI-NPS-Grand Teton NP,43.87,-110.5016667,Incomplete
1440,NA,335,0,NA,Matilda,USDI-NPS-Grand Teton NP,43.87,-110.5016667,Incomplete
1631,NA,335,0,NA,Matilda,USDI-NPS-Grand Teton NP,43.87,-110.5016667,Incomplete
1820,2015-09-26,185,185,NA,Matilda,USDI-NPS-Grand Teton NP,43.87,-110.5,Complete
3412,NA,NA,0,NA,Meeteetse Area Piles,NA,43.87,-109.02,Incomplete
3413,NA,NA,0,5358,North Fork Area Piles,NA,43.87,-109.02,Incomplete
3414,NA,NA,0,1590950,South Fork Area Piles,NA,43.87,-109.02,Incomplete
3436,2019-12-16,NA,NA,2391100,Meeteetse,USDA-USFS-Shoshone NF-Wapiti RD,43.87,-109.02,Complete
3595,NA,NA,0,2391100,Meeteetse,USDA-USFS-Shoshone NF-Wapiti RD,43.87,-109.02,Incomplete
3769,NA,NA,0,2391100,Meeteetse Area Piles,NA,43.87,-109.02,Incomplete
744,2011-02-16,24,24,144960,Newcastle Fire Defense Zone (NFDZ),USDI-BLM-WY High Plains District (Newcastle Field Office),43.866855,-104.2168731,Complete
562,NA,96,0,240000,Turpin Meadows,USDA-USFS-Bridger-Teton NF-Jackson RD,43.8644639,-110.2678646,Incomplete
3846,NA,2306,0,NA,Coosberry,NA,43.86,-109.01,Incomplete
1897,NA,30,0,1825150,Twin Lakes TS,USDA-USFS-Shoshone NF,43.86,-109.01,Incomplete
1970,2016-01-26,30,30,1825150,Twin Lakes TS,USDA-USFS-Shoshone NF-Wapiti RD,43.86,-109.01,Complete
733,NA,1072,0,NA,Heart 6,USDA-USFS-Bridger-Teton NF-Moran RD,43.85318056,-110.3998533,Incomplete
530,NA,20,0,600,"River Tract Rx-Kubiak, Rail Road and Eggert Tracts",USDI-BLM-Worland Field Office,43.853075,-108.1572719,Incomplete
1316,NA,2,0,31200,Cottonwood-North Piles 2013,USDA-USFS-Shoshone NF-Wapiti RD,43.85083333,-109.0041667,Incomplete
1505,2014-01-07,2,2,31200,Cottonwood-North Piles 2014,USDA-USFS-Shoshone NF-Wapiti RD,43.85083333,-109.0041667,Complete
1742,NA,1000,0,NA,Heart Six Prescribed Burn,USDA-USFS-Bridger-Teton NF-Jackson RD,43.85,-110.43,Incomplete
734,NA,322,0,NA,Lava Creek,USDA-USFS-Bridger-Teton NF-Moran RD,43.84283194,-110.4616483,Incomplete
