BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
AG Piles,USFS,PSF,Pike/San Isabel National Forests,7,p,,250,39.42,-105.57,,26790,94,300,95
Payne Gulch,USFS,PSF,Pike/San Isabel National Forests,8,p,,2000,39.4,-105.50,,0,,,
Green Mountain Piles,USFS,PSF,Pike/San Isabel National Forests,10,p,,2750,39.32,-105.36,,0,,,
Dell Piles,USFS,PSF,Pike/San Isabel National Forests,11,p,,2000,39.33,-105.23,,0,,,
Bear Mountain Piles,USFS,PSF,Pike/San Isabel National Forests,13,p,,3400,39.38,-105.13,,109680,457,300,80
Dry Lake,USFS,PSF,Pike/San Isabel National Forests,27,p,,80,38.54,-106.21,,388800,27,18000,80
Tornado Piles,USFS,PSF,Pike/San Isabel National Forests,34,p,,300,38.97,-105.39,,0,,,
Echo-Beaver Force Account Piles,USFS,PSF,Pike/San Isabel National Forests,38,p,,400,38.87,-105.45,,0,,,
Howard Landing,USFS,PSF,Pike/San Isabel National Forests,40,p,,7,38.94,-105.34,,0,,,
Black Mtn Piles,USFS,PSF,Pike/San Isabel National Forests,51,p,,500,37.91,-105.19,,53012.96,331,176,91
Cuchara,USFS,PSF,Pike/San Isabel National Forests,52,p,,300,37.35,-105.35,,12870,50,286,90
12 Mile,USFS,PSF,Pike/San Isabel National Forests,53,p,,35000,38.02,-105.00,,887686.8,3695,286,84
Alvarado,USFS,PSF,Pike/San Isabel National Forests,66,p,,8500,38.08,-105.57,,453779.04,1803,286,88
Lake George Station,USFS,PSF,Pike/San Isabel National Forests,79,p,,5,38.97,-105.35,,0,,,
Sand Springs,USFS,PSF,Pike/San Isabel National Forests,85,p,,1200,39.33,-105.30,,32940,122,300,90
Tramway 7,USFS,PSF,Pike/San Isabel National Forests,86,p,,450,39.33,-105.30,,87600,365,300,80
Bear Creek Piles PIKE,USFS,PSF,Pike/San Isabel National Forests,95,p,,3250,39.41,-104.00,,0,,,
Buffalo Creek Piles,USFS,PSF,Pike/San Isabel National Forests,96,p,,2250,39.47,-105.24,,0,,,
Carrizo Work Center,USFS,PSF,Pike/San Isabel National Forests,100,p,,4,37.06,-102.35,,0,,,
Ouzel,USFS,PSF,Pike/San Isabel National Forests,131,p,,1500,39.32,-105.18,,0,,,
Wilson Rest,USFS,PSF,Pike/San Isabel National Forests,140,b,975,,38.96,-105.35,,0,,,
"Wilson 1,5,7,10",USFS,PSF,Pike/San Isabel National Forests,159,b,450,,38.93,-105.34,,0,,,
O'Brien Rx Unit P5&P6,USFS,PSF,Pike/San Isabel National Forests,160,b,1400,,38.96,-105.40,,0,,,
O'Brien P1-4,USFS,PSF,Pike/San Isabel National Forests,161,b,1500,,38.89,-105.38,,0,,,
Prairie Chicken,USFS,PSF,Pike/San Isabel National Forests,166,b,300,,37.06,-102.35,,0,,,
North Trout Creek,USFS,PSF,Pike/San Isabel National Forests,167,b,750,,38.93,-106.04,369,0,,,
North Divide Piles,USFS,PSF,Pike/San Isabel National Forests,197,p,,7240,39.03,-105.17,,0,,,
Bear Mountain Broadcast,USFS,PSF,Pike/San Isabel National Forests,229,b,774,,39.36,-105.15,,0,,,
Noddles,USFS,PSF,Pike/San Isabel National Forests,231,b,365,,39.32,-105.13,,0,,,
Sand Canyon,USFS,PSF,Pike/San Isabel National Forests,241,p,,50,37.01,-102.83,,0,,,
Flume Creek Broadcast,USFS,PSF,Pike/San Isabel National Forests,288,b,130,,39.07,-106.31,,0,,,
Shavano,USFS,PSF,Pike/San Isabel National Forests,289,b,700,,38.61,-106.16,695,0,,,
San Isabel Workcenter,USFS,PSF,Pike/San Isabel National Forests,298,b,20,,37.98,-105.04,,0,,,
Purgatoire River,USFS,PSF,Pike/San Isabel National Forests,299,p,,6,37.62,-103.60,,0,,,
Black Mountain Broadcast,USFS,PSF,Pike/San Isabel National Forests,300,b,2175,,37.94,-105.22,860,0,,,
Trout Creek,USFS,PSF,Pike/San Isabel National Forests,301,b,1500,,39.12,-105.06,719.5,0,,,
Pikes Peak Piles,USFS,PSF,Pike/San Isabel National Forests,302,p,,5000,38.91,-105.00,,0,,,
Greenhorn,USFS,PSF,Pike/San Isabel National Forests,305,p,,300,38.04,-105.18,,21060,13,1800,90
"Echo Fuels Contract
				PILES",USFS,PSF,Pike/San Isabel National Forests,308,p,,6756,38.03,-105.17,,0,,,
Round Mtn Force Account Hand Piles,USFS,PSF,Pike/San Isabel National Forests,313,p,,1450,39.06,-105.42,,0,,,
Tornado Fuels Contract Landing Piles,USFS,PSF,Pike/San Isabel National Forests,314,p,,5,38.98,-105.43,,0,,,
Hwy. 67 West,USFS,PSF,Pike/San Isabel National Forests,324,b,300,,39.07,-105.10,,0,,,
Droney Gulch,USFS,PSF,Pike/San Isabel National Forests,337,p,,400,38.58,-106.14,,0,,,
Morrision Creek,USFS,PSF,Pike/San Isabel National Forests,338,p,,1200,38.96,-106.22,,0,,,
Cree Creek,USFS,PSF,Pike/San Isabel National Forests,339,p,,1200,38.54,-106.23,,0,,,
Jasper Piles,USFS,RGF,Rio Grande National Forest,75,p,,9,37.45,-106.50,,0,,,
Bear Creek Piles,USFS,RGF,Rio Grande National Forest,87,p,,13,37.7,-106.63,,0,,,
Black Mesa Piles,USFS,RGF,Rio Grande National Forest,109,p,,500,37.84,-107.21,,0,,,
Belle,USFS,RGF,Rio Grande National Forest,134,p,,29,37.84,-107.24,,0,,,
"Conejos Canyon Units 2, 16",USFS,RGF,Rio Grande National Forest,135,p,,1000,37.07,-106.22,,0,,,
Mater,USFS,RGF,Rio Grande National Forest,149,p,,53,37.82,-107.27,,0,,,
Mallard & Teal,USFS,RGF,Rio Grande National Forest,184,p,,40,38.23,-106.51,,0,,,
Alamaditas,USFS,RGF,Rio Grande National Forest,233,b,700,,37.12,-106.26,,0,,,
English Valley,USFS,RGF,Rio Grande National Forest,234,b,900,,37.75,-106.34,450,0,,,
Conejos Canyon Unit 1,USFS,RGF,Rio Grande National Forest,236,b,200,,37.08,-106.23,,0,,,
Bighorn/Stateline Unit 1,USFS,RGF,Rio Grande National Forest,237,b,1225,,37,-106.19,,0,,,
Black Mtn. WUI Piles,USFS,RGF,Rio Grande National Forest,306,p,,200,37.84,-107.18,,0,,,
Wolf Piles,USFS,RGF,Rio Grande National Forest,331,p,,5,37.02,-106.49,,0,,,
Hwy 134 Piles,USFS,RTF,Routt National Forest,46,p,,4300,40.14,-106.58,,0,,,
FHTR 100,USFS,RTF,Routt National Forest,111,p,,200,40.25,-106.60,,0,,,
Monument Rock,USFS,RTF,Routt National Forest,112,p,,200,40.76,-106.85,,0,,,
Little Snake North,USFS,RTF,Routt National Forest,113,p,,300,40.98,-106.92,,0,,,
Morrison Creek,USFS,RTF,Routt National Forest,115,p,,250,40.17,-106.76,,0,,,
Gore Pass Admin,USFS,RTF,Routt National Forest,116,p,,100,40.06,-106.58,,0,,,
Long Park,USFS,RTF,Routt National Forest,117,p,,150,40.05,-106.66,,0,,,
Lynx Pass Timber Sales,USFS,RTF,Routt National Forest,118,p,,400,40.16,-106.62,,0,,,
Grouse Mountain,USFS,RTF,Routt National Forest,120,p,,320,40.16,-106.13,,0,,,
Admin Piles,USFS,RTF,Routt National Forest,121,p,,10,40.05,-107.03,,0,,,
Gould,USFS,RTF,Routt National Forest,122,p,,30,40.51,-106.03,,0,,,
Kings Canyon,USFS,RTF,Routt National Forest,123,p,,40,40.91,-106.19,,0,,,
Encampment,USFS,RTF,Routt National Forest,124,p,,25,40,-106.82,,0,,,
Little Snake,USFS,RTF,Routt National Forest,172,b,850,,40.94,-106.94,,0,,,
Seedhouse Broadcast,USFS,RTF,Routt National Forest,174,b,1155,,40.76,-106.79,,0,,,
Indian Run,USFS,RTF,Routt National Forest,232,b,1100,,40.24,-107.39,,0,,,
North Routt,USFS,RTF,Routt National Forest,334,p,,800,40.72,-106.85,,0,,,
Highway 40 Admin,USFS,RTF,Routt National Forest,336,p,,20,40.36,-106.77,,0,,,
Parks RD,USFS,RTF,Routt National Forest,345,p,,500,40.57,-106.59,,0,,,
Fosset Gulch Piles,USFS,SJF,San Juan National Forest,23,p,,400,37.26,-107.51,,0,,,
Chicken Creek Machine Piles,USFS,SJF,San Juan National Forest,33,p,,300,37.42,-108.28,,0,,,
Rito Blanco Piles,USFS,SJF,San Juan National Forest,37,p,,25,37.26,-106.90,,0,,,
Archuleta Creek Aerial,USFS,SJF,San Juan National Forest,39,b,1731,,37.15,-107.25,,0,,,
Upper Lost Piles,USFS,SJF,San Juan National Forest,73,p,,150,37.54,-108.23,,0,,,
Guard Station Piles,USFS,SJF,San Juan National Forest,74,p,,30,37.72,-108.69,,0,,,
Turkey Springs Piles,USFS,SJF,San Juan National Forest,173,p,,500,37.32,-107.15,,0,,,
Brockover II,USFS,SJF,San Juan National Forest,176,b,2017,,37.29,-107.14,,0,,,
Trimble Point,USFS,SJF,San Juan National Forest,195,b,1515,,37.6,-108.50,1514.7,0,,,
Lake Canyon,USFS,SJF,San Juan National Forest,251,b,3500,,37.72,-108.69,,0,,,
Horsefly,USFS,SJF,San Juan National Forest,267,b,1400,,37.3,-107.33,,0,,,
Brockover,USFS,SJF,San Juan National Forest,269,b,1500,,37.33,-107.15,84,0,,,
South Carver,USFS,SJF,San Juan National Forest,307,b,1661,,37.47,-108.34,,0,,,
Job Corp Pile,USFS,SJF,San Juan National Forest,342,p,,1,37.3,-107.10,,0,1,0,
Rocks Springs Piles,USFS,SJF,San Juan National Forest,348,p,,1700,37.49,-108.38,,0,,,
Lake Canyon Piles,USFS,SJF,San Juan National Forest,349,p,,250,37.72,-108.70,,0,,,
Vail Intermountain,USFS,WRF,White River National Forest,9,p,,1250,39.62,-106.40,,0,,,
Breckenridge Hand 2017,USFS,WRF,White River National Forest,28,p,,11000,39.55,-106.04,,906471,3249,300,93
Summit North,USFS,WRF,White River National Forest,29,p,,860,39.73,-106.13,,0,,,
Indian Creek Salvage,USFS,WRF,White River National Forest,30,p,,500,39.71,-106.40,,0,,,
Baylor,USFS,WRF,White River National Forest,108,p,,120,39.31,-107.40,,259675,100,3055,85
Ophir East,USFS,WRF,White River National Forest,119,p,,30,39.54,-106.05,,9120,12,800,95
Moniger Park Salvage,USFS,WRF,White River National Forest,130,p,,475,39.71,-106.46,,0,,,
West Divide,USFS,WRF,White River National Forest,190,b,5240,,39.31,-107.55,1050,0,,,
Avalanche Creek,USFS,WRF,White River National Forest,203,b,1100,,39.24,-107.21,80,0,,,
Battlement Mesa,USFS,WRF,White River National Forest,225,b,2500,,39.34,-108.03,250,0,,,
Aldrich Lakes,USFS,WRF,White River National Forest,226,b,1500,,40.25,-107.50,,0,,,
Miller Creek (LK Ranch RX),USFS,WRF,White River National Forest,242,b,2000,,39.83,-107.80,,0,,,
Blanco Piles,USFS,WRF,White River National Forest,268,p,,10,40.02,-107.27,,361.25,5,85,85
Cattle Creek,USFS,WRF,White River National Forest,293,b,1500,,39.49,-107.02,250,0,,,
Catawampus Piles,USFS,WRF,White River National Forest,328,p,,160,39.4,-106.69,,1273992.75,153,8765,95
Breckenridge West Side,USFS,WRF,White River National Forest,333,p,,2000,39.5,-106.04,,0,,,
Alamosa NWR Unit B/L,USFWS,ALR,Alamosa National Wildlife Refuge,228,b,330,,37.44,-105.81,2,0,,,
Crestone Creek,USFWS,BAR,Baca National Wildlife Refuge,104,p,,14,37.98,-105.72,,1193.2,4,314,95
Baca,USFWS,BAR,Baca National Wildlife Refuge,230,b,2800,,37.92,-105.76,511,0,,,
Brown's Park NWR Piles,USFWS,BPR,Browns Park National Wildlife Refuge,63,p,,500,40.8,-108.94,,0,,,
Refuges' Admin Piles,USFWS,MVR,Monte Vista National Wildlife Refuge,98,p,,4,40.95,-105.05,,4542.08,4,1208,94
Monte Vista NWR Unit 14,USFWS,MVR,Monte Vista National Wildlife Refuge,326,b,305,,37.48,-106.13,255,0,,,
Arsenal Piles,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,44,p,,200,39.86,-104.87,,7618,13,586,100
Arsenal Broadcast,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,194,b,2500,,39.86,-104.81,1195,0,,,
