BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxProjectPermitted,PilesAnnMaxProjectPermitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
South Fork Piles,181,USFS,RGF,Rio Grande National Forest,p,,10,37.64,-106.66,,"1,146.42",6,193,99
English Valley,219,USFS,RGF,Rio Grande National Forest,b,2000,,37.75,-106.34,0,,,,
Buffalo Pass,220,USFS,RGF,Rio Grande National Forest,b,840,,38.16,-106.51,0,,,,
Conejos Canyon Unit 1,221,USFS,RGF,Rio Grande National Forest,b,200,,37.08,-106.23,0,,,,
Bighorn/Stateline Unit 5 & 6,224,USFS,RGF,Rio Grande National Forest,b,1225,,37,-106.19,,,,,
Cal Johns Piles,273,USFS,RGF,Rio Grande National Forest,p,,30,37.98,-106.59,,0.00,0,,
Crescent Moon Miles,274,USFS,RGF,Rio Grande National Forest,p,,3,37.98,-106.52,,0.00,0,,
Simba Piles,275,USFS,RGF,Rio Grande National Forest,p,,9,37.82,-107.23,,"429,765.75",9,50265,95
Poage Piles,276,USFS,RGF,Rio Grande National Forest,p,,4,37.51,-106.64,,0.00,0,,
Whistle Pig Piles,277,USFS,RGF,Rio Grande National Forest,p,,5,37.02,-106.41,,0.00,0,,
Bear Johns Piles,278,USFS,RGF,Rio Grande National Forest,p,,75,37.94,-106.61,,0.00,0,,
North Carnero WUI Piles,283,USFS,RGF,Rio Grande National Forest,p,,900,37.93,-106.39,,0.00,0,,
Neff Piles,284,USFS,RGF,Rio Grande National Forest,p,,50,37.04,-106.41,,0.00,0,,
Big Red Park,27,USFS,RTF,Routt National Forest,p,,150,40.89,-106.87,,"346,821.60",30,12566,92
Slackweiss,207,USFS,RTF,Routt National Forest,b,700,,40.4,-106.37,,,,,
Steamboat Front,208,USFS,RTF,Routt National Forest,b,3500,,40.56,-106.88,0,,,,
Little Snake,209,USFS,RTF,Routt National Forest,b,850,,40.94,-106.94,,,,,
Middle Fork Prescribed Fire,233,USFS,RTF,Routt National Forest,b,1500,,40.26,-106.22,,,,,
Parks RD,252,USFS,RTF,Routt National Forest,p,,500,40.57,-106.6,,"200,475.00",165,1350,90
Monument Rock,255,USFS,RTF,Routt National Forest,p,,200,40.76,-106.85,,"49,852.96",23,2356,92
North Routt,256,USFS,RTF,Routt National Forest,p,,800,40.72,-106.85,,0.00,,,
Morrison Creek Piles,269,USFS,RTF,Routt National Forest,p,,125,40.16,-105.73,,0.00,,,
Kings Canyon Piles,270,USFS,RTF,Routt National Forest,p,,125,40.93,-106.2,,0.00,,,
Cabazon Piles,63,USFS,SJF,San Juan National Forest,p,,400,37.16,-107.18,,"13,230.00",300,49,90
Turkey Springs Piles,64,USFS,SJF,San Juan National Forest,p,,500,37.31,-107.15,,"19,845.00",450,49,90
Devil Creek Piles,65,USFS,SJF,San Juan National Forest,p,,300,37.32,-107.19,,"9,922.50",225,49,90
Mill Creek SJF,66,USFS,SJF,San Juan National Forest,b,650,,37.26,-106.88,,,,,
Fawn Gulch,67,USFS,SJF,San Juan National Forest,b,1800,,37.3,-106.95,,,,,
East Monument Piles,68,USFS,SJF,San Juan National Forest,p,,500,37.33,-107.17,,"8,820.00",200,49,90
Fosset Gulch Pile Rx,69,USFS,SJF,San Juan National Forest,p,,40,37.23,-107.4,,"109,375.00",35,6250,50
Horsefly,115,USFS,SJF,San Juan National Forest,b,1400,,37.31,-107.33,,,,,
Archuleta Creek,156,USFS,SJF,San Juan National Forest,b,2257,,37.16,-107.25,,,,,
Brockover Devil Creek Rx,185,USFS,SJF,San Juan National Forest,b,8446,,37.3,-107.16,,,,,
Boggy Draw/Haycamp Mesa,222,USFS,SJF,San Juan National Forest,b,9990,,37.56,-108.37,,,,,
Newt Jack Piles,236,USFS,SJF,San Juan National Forest,p,,1000,37.32,-107.13,,"26,901.00",610,49,90
Barred Rock/Brahma/Chicken Creek,251,USFS,SJF,San Juan National Forest,p,,1000,37.43,-108.28,,"238,680.00",300,884,90
Cow Canyon/Five Pines,253,USFS,SJF,San Juan National Forest,p,,1000,37.73,-108.69,,"26,010.00",170,170,90
Spring Creek,254,USFS,SJF,San Juan National Forest,p,,500,37.51,-108.22,,"1,413.90",1,1571,90
Hay Rock,267,USFS,SJF,San Juan National Forest,p,,1000,37.5,-108.33,,0.00,0,,
Sauls Creek Pile Rx,281,USFS,SJF,San Juan National Forest,p,,100,37.27,-107.51,,"10,944.00",45,256,95
Baylor,17,USFS,WRF,White River National Forest,p,,120,39.35,-107.43,,"10,179.00",3,3770,90
Catawampus Piles,18,USFS,WRF,White River National Forest,p,,160,39.4,-106.69,,0.00,,,
Breckenridge FHF - Unit 307,103,USFS,WRF,White River National Forest,p,,500,39.53,-105.99,,0.00,0,,
Breckenridge FHF - Unit 427,104,USFS,WRF,White River National Forest,p,,1000,39.5,-106.07,,"3,960.00",20,220,90
Keystone Gulch TSI,105,USFS,WRF,White River National Forest,p,,15000,39.58,-105.96,,"547,470.00",2765,220,90
Eagle Burn Blocks French Creek,144,USFS,WRF,White River National Forest,b,2500,,39.61,-107.18,0,,,,
Muddy Pass - All Units,184,USFS,WRF,White River National Forest,b,5000,,39.7,-106.52,0,,,,
Cherry Creek,198,USFS,WRF,White River National Forest,b,1100,,39.67,-107.63,,,,,
Braderich Creek,199,USFS,WRF,White River National Forest,b,2065,,39.19,-107.3,,,,,
Cattle Creek,200,USFS,WRF,White River National Forest,b,2500,,39.49,-107.02,,,,,
Snell Rock,226,USFS,WRF,White River National Forest,b,1700,,40.24,-107.52,,,,,
Ophir Mountain-Miner's Creek,240,USFS,WRF,White River National Forest,p,,2000,39.56,-106.09,,0.00,0,,
Shadow Creek Ranch,243,USFS,WRF,White River National Forest,p,,25,39.88,-106.38,,"4,950.00",25,220,90
Nast Colony Piles,268,USFS,WRF,White River National Forest,p,,60,39.29,-106.6,,"15,675.00",60,275,95
Brown's Park NWR Piles,172,USFWS,BPR,Browns Park National Wildlife Refuge,p,,500,40.8,-108.94,,0.00,,,
Hog Lake Unit - Brown's Park NWR,176,USFWS,BPR,Browns Park National Wildlife Refuge,b,300,,40.83,-108.99,,,,,
Arsenal Piles,76,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,p,,200,39.86,-104.81,,"7,541.82",13,586,99
