name,start_date,end_date,agency,unit,acres,type,receptors,lat,lng,approval_type,elevation,airshed,class1,nonattainment,added_on
Henrie Knolls North,5/5/2021,5/11/2021,USFS,Dixie NF Powell,600,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.584,-112.641,Historical,7900,"16 - Above 6,500 feet
",0,0,5/4/2021
Cedar City Piles,5/5/2021,5/11/2021,USFS,Dixie NF Cedar City,400,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,5/4/2021
Blue Fly,4/29/2021,5/5/2021,USFS,Dixie NF Pine Valley,385,Understory,"Bryce Canyon City, Bryce Canyon Airport",37.605,-112.263,Historical,7800,"16 - Above 6,500 feet
",0,0,4/28/2021
Ponderosa Restoration Broadcast,4/27/2021,5/3/2021,USFS,UWC NF South Zone,335,Broadcast,"Alpine Acres, Oakley, Kamas, Mirror Lake Highway, Weber Canyon, Marion, Woodland, Francis, Samak, Peoa",40.624,-111.169,Historical,7400,"16 - Above 6,500 feet
",0,0,4/26/2021
Sawyer Point,4/27/2021,5/3/2021,USFS,Dixie NF Cedar City,600,Understory,"Hatch, Highway 89",37.537,-112.523,Historical,7090,"16 - Above 6,500 feet
",0,0,4/26/2021
Henrie Knolls North,4/27/2021,5/3/2021,USFS,Dixie NF Powell,600,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.584,-112.641,Historical,7900,"16 - Above 6,500 feet
",0,0,4/26/2021
Cedar City Piles,4/27/2021,5/3/2021,USFS,Dixie NF Cedar City,800,Piles,,37.623,-112.658,Historical,7300,"16 - Above 6,500 feet
",0,0,4/26/2021
East Zone Pile Burn,4/26/2021,4/30/2021,USFS,UWC NF North Zone,200,Piles,,40.574,-110.975,Historical,7,"16 - Above 6,500 feet
",0,0,4/21/2021
Sawyer Point,4/20/2021,4/26/2021,USFS,Dixie NF Cedar City,600,Understory,"Hatch, Highway 89",37.537,-112.523,Historical,7090,"16 - Above 6,500 feet
",0,0,4/19/2021
Cedar City Piles,4/20/2021,4/26/2021,USFS,Dixie NF Cedar City,600,Piles,,37.627,-112.672,Historical,7300,"16 - Above 6,500 feet
",0,0,4/19/2021
Ray Mesa II,4/19/2021,4/25/2021,BLM,Canyon Country District,200,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,4/19/2021
"North Beaver, Baker / Face",4/20/2021,4/26/2021,USFS,Fishlake NF Beaver,1000,Broadcast,,38.271,-112.54,Historical,6500,"16 - Above 6,500 feet
",0,0,4/19/2021
Blue Fly,4/20/2021,4/26/2021,USFS,Dixie NF Pine Valley,385,Understory,"Bryce Canyon City, Bryce Canyon Airport",37.605,-112.263,Historical,7800,"16 - Above 6,500 feet
",0,0,4/19/2021
Horse Hollow,4/19/2021,4/25/2021,USFS,Fishlake NF Fillmore,300,Broadcast,"I-15, Richfield City , Fillmore City, Meadow Town",38.95,-112.276,Historical,5500,"16 - Above 6,500 feet
",0,0,4/16/2021
South Monroe,4/19/2021,4/25/2021,USFS,Fishlake NF Richfield,300,Stand Replace,"Greenwich, Wayne County, Koosharem , Marysvale, Sevier Valley, North Sevier Valley",38.491,-111.995,Historical,8000,"16 - Above 6,500 feet
",0,0,4/16/2021
Mayberry Burn FI-210,4/26/2021,4/30/2021,State,Southeastern Area,10,Broadcast,,38.683,-109.427,Historical,4039,12 - Upper Colo. R.,0,0,4/16/2021
Ponderosa Restoration Broadcast,4/18/2021,4/24/2021,USFS,UWC NF South Zone,335,Broadcast,"Alpine Acres, Oakley, Kamas, Mirror Lake Highway, Weber Canyon, Marion, Woodland, Francis, Samak, Peoa",40.596,-111.068,Historical,7400,"16 - Above 6,500 feet
",0,0,4/15/2021
East Zone Pile Burn,4/16/2021,4/21/2021,USFS,UWC NF North Zone,200,Piles,,40.623,-110.982,Historical,7,"16 - Above 6,500 feet
",0,0,4/15/2021
FFSL Central Area Piles,4/15/2021,4/16/2021,State,Central Area,1,Piles,,38.529,-112.268,Historical,7800,"13 - Sevier R.
",0,0,4/14/2021
FFSL Central Area Piles,4/15/2021,4/16/2021,State,Central Area,3,Piles,,38.722,-112.066,Historical,7800,"13 - Sevier R.
",0,0,4/14/2021
North Zone Piles,4/14/2021,4/21/2021,USFS,UWC NF North Zone,5,Piles,Logan,41.885,-111.572,Historical,4000,"4 - Cache/Bear R.
",0,0,4/12/2021
Harold Crane Soverign Lands Phragmite RX,4/12/2021,4/18/2021,State,Bear River Area,1000,Broadcast,"Ogden, Brigham City, I-15",41.358,-112.181,Historical,4200,"4 - Cache/Bear R.
",0,0,4/11/2021
Public Shooting Grounds,4/12/2021,4/18/2021,State,Bear River Area,1000,Broadcast,,41.556,-112.306,Historical,4200,"4 - Cache/Bear R.
",0,1,4/11/2021
South Monroe,4/12/2021,4/14/2021,USFS,Fishlake NF Richfield,300,Stand Replace,"Greenwich, Sevier Valley, North Sevier Valley, Wayne County, Marysvale, Koosharem ",38.542,-111.968,Historical,8000,"16 - Above 6,500 feet
",0,0,4/9/2021
"North Beaver, Baker / Face",4/13/2021,4/19/2021,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,4/8/2021
Beaver Ranger District Slash Piles,4/13/2021,4/19/2021,USFS,Fishlake NF Beaver,50,Piles,,38.428,-112.485,Historical,6500,"16 - Above 6,500 feet
",0,0,4/8/2021
Sawyer Point,4/12/2021,4/18/2021,USFS,Dixie NF Cedar City,600,Understory,"Hatch, Highway 89",37.537,-112.523,Historical,7090,"16 - Above 6,500 feet
",0,0,4/8/2021
Cedar City Piles,4/12/2021,4/18/2021,USFS,Dixie NF Cedar City,400,Piles,,37.622,-112.668,Historical,7300,"16 - Above 6,500 feet
",0,0,4/8/2021
Cache Piles,4/7/2021,4/7/2021,State,Bear River Area,2,Piles,,41.764,-111.705,Historical,6000,"16 - Above 6,500 feet
",0,1,4/6/2021
Cache Piles,NULL,NULL,State,Bear River Area,NULL,Piles,,41.764,-111.705,Historical,6000,1 - N. West Desert,0,1,4/6/2021
Summit Park Pile Burn,4/9/2021,4/15/2021,LPE,Local or Private Entity,3,Piles,,40.735,-111.616,Historical,7,"16 - Above 6,500 feet
",0,0,4/6/2021
Gordon Creek RX,4/12/2021,4/15/2021,State,Southeastern Area,25,Broadcast,,39.662,-111.013,Historical,7100,12 - Upper Colo. R.,0,0,4/6/2021
Tamarisk Programatic,4/6/2021,4/13/2021,BLM,Canyon Country District,10,Piles,Moab,39.002,-109.138,Historical,3924,12 - Upper Colo. R.,0,0,4/6/2021
Ray Mesa II,4/6/2021,4/12/2021,BLM,Canyon Country District,735,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,4/6/2021
"North Beaver, Baker / Face",4/6/2021,4/12/2021,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,4/6/2021
Beaver Ranger District Slash Piles,4/6/2021,4/12/2021,USFS,Fishlake NF Beaver,10,Piles,,38.427,-112.487,Historical,6500,"16 - Above 6,500 feet
",0,0,4/6/2021
North Zone Piles,4/7/2021,4/13/2021,USFS,UWC NF North Zone,15.25,Piles,Logan,41.691,-111.787,Historical,4000,"4 - Cache/Bear R.
",0,0,4/5/2021
Horse Hollow,4/9/2021,4/15/2021,USFS,Fishlake NF Fillmore,1000,Broadcast,"I-15, Richfield City , Fillmore City, Meadow Town",38.95,-112.276,Historical,5500,"16 - Above 6,500 feet
",0,0,4/5/2021
Bear River Wetlands,4/6/2021,4/8/2021,FWS,Rocky/Basin Refuges,2000,Broadcast,"I-15 Corridor, Brigham City/Perry Utah, Corrine Utah",41.438,-112.103,Historical,4200,1 - N. West Desert,0,1,4/2/2021
Pine Valley District Piles,4/5/2021,4/12/2021,USFS,Dixie NF Pine Valley,50,Piles,"Veyo, New Harmony, Central",37.444,-113.494,Historical,5200,1 - N. West Desert,0,0,4/1/2021
The Pines,4/5/2021,4/16/2021,USFS,Manti-La Sal South Zone,50,Broadcast,,38.983,-111.342,Historical,7700,"16 - Above 6,500 feet
",0,0,4/1/2021
Dog Hollow Rx,4/8/2021,4/8/2021,State,Wasatch Front Area,140,Broadcast,"Eureka, Vernon, Lofgren",39.99,-112.321,Historical,6200,1 - N. West Desert,0,0,3/30/2021
Powell District Piles,3/31/2021,4/6/2021,USFS,Dixie NF Pine Valley,50,Piles,"Bryce Valley area, Bryce Canyon National Park",37.43,-112.199,Historical,7000,"16 - Above 6,500 feet
",0,0,3/30/2021
Public Shooting Grounds,3/31/2021,4/6/2021,State,Bear River Area,1800,Broadcast,,41.556,-112.306,Historical,4200,"4 - Cache/Bear R.
",0,1,3/29/2021
Harold Crane Soverign Lands Phragmite RX,3/31/2021,4/6/2021,State,Bear River Area,700,Broadcast,"Ogden, Brigham City, I-15",41.358,-112.181,Historical,4200,"4 - Cache/Bear R.
",0,0,3/29/2021
Cedar City Piles,3/30/2021,4/5/2021,USFS,Dixie NF Cedar City,300,Piles,,37.626,-112.671,Historical,7300,"16 - Above 6,500 feet
",0,0,3/29/2021
Beaver Ranger District Slash Piles,3/30/2021,4/5/2021,USFS,Fishlake NF Beaver,50,Piles,,38.428,-112.484,Historical,6500,"16 - Above 6,500 feet
",0,0,3/29/2021
Pariette,3/25/2021,3/31/2021,BLM,Green River District,600,Broadcast,,40.03,-109.771,Historical,4600,"9 - Uinta Basin
",0,0,3/24/2021
Powell District Piles,3/24/2021,3/30/2021,USFS,Dixie NF Pine Valley,50,Piles,"Bryce Valley area, Bryce Canyon National Park",37.43,-112.199,Historical,7000,"16 - Above 6,500 feet
",0,0,3/23/2021
Bear River Wetlands,3/24/2021,3/31/2021,FWS,Rocky/Basin Refuges,1500,Broadcast,"I-15 Corridor, Brigham City/Perry Utah, Corrine Utah",41.418,-112.227,Historical,4200,1 - N. West Desert,0,1,3/23/2021
Tamarisk Programatic,3/24/2021,3/31/2021,BLM,Canyon Country District,10,Piles,Moab,39.002,-109.138,Historical,3924,12 - Upper Colo. R.,0,0,3/23/2021
Ray Mesa II,3/24/2021,3/29/2021,BLM,Canyon Country District,10,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,3/23/2021
Cedar City Piles,3/23/2021,3/29/2021,USFS,Dixie NF Cedar City,400,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,3/22/2021
Horse Hollow,3/24/2021,3/31/2021,USFS,Fishlake NF Fillmore,250,Broadcast,"I-15, Richfield City , Fillmore City, Meadow Town",38.95,-112.276,Historical,5500,"16 - Above 6,500 feet
",0,0,3/21/2021
UOA Piles,3/18/2021,3/24/2021,BIA,Uintah and Ouray Agency,15,Piles,"Randlett, Ft. Duchesne, Myton",40.183,-110.023,Historical,4750,1 - N. West Desert,0,0,3/17/2021
Powell District Piles,3/17/2021,3/23/2021,USFS,Dixie NF Pine Valley,50,Piles,"Bryce Valley area, Bryce Canyon National Park",37.43,-112.199,Historical,7000,"16 - Above 6,500 feet
",0,0,3/17/2021
Ray Mesa II,3/17/2021,3/23/2021,BLM,Canyon Country District,10,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,3/16/2021
Tamarisk Programatic,3/19/2021,3/25/2021,BLM,Canyon Country District,10,Piles,Moab,39.002,-109.138,Historical,3924,12 - Upper Colo. R.,0,0,3/16/2021
Public Shooting Grounds,3/18/2021,3/25/2021,State,Bear River Area,1800,Broadcast,,41.556,-112.306,Historical,4200,1 - N. West Desert,0,1,3/16/2021
Harold Crane Soverign Lands Phragmite RX,3/18/2021,3/25/2021,State,Bear River Area,700,Broadcast,"Ogden, Brigham City, I-15",41.358,-112.181,Historical,4200,"4 - Cache/Bear R.
",0,0,3/16/2021
Beaver Ranger District Slash Piles,3/17/2021,3/23/2021,USFS,Fishlake NF Beaver,10,Piles,,38.431,-112.487,Historical,6500,"16 - Above 6,500 feet
",0,0,3/15/2021
Powell District Piles,3/10/2021,3/16/2021,USFS,Dixie NF Pine Valley,50,Piles,"Bryce Valley area, Bryce Canyon National Park",37.43,-112.199,Historical,7000,"16 - Above 6,500 feet
",0,0,3/9/2021
Beaver Ranger District Slash Piles,3/10/2021,3/16/2021,USFS,Fishlake NF Beaver,50,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,3/8/2021
Cedar City Piles,3/9/2021,3/15/2021,USFS,Dixie NF Cedar City,300,Piles,,37.622,-112.665,Historical,7300,"16 - Above 6,500 feet
",0,0,3/8/2021
Horse Hollow,3/12/2021,3/18/2021,USFS,Fishlake NF Fillmore,1200,Broadcast,"I-15, Richfield City , Fillmore City, Meadow Town",38.95,-112.276,Historical,5500,"16 - Above 6,500 feet
",0,0,3/8/2021
Deseret West,3/9/2021,3/15/2021,State,Bear River Area,15,Broadcast,,41.305,-111.402,Historical,6500,1 - N. West Desert,0,0,3/8/2021
Devil Canyon,3/4/2021,3/10/2021,BLM,Canyon Country District,8,Piles,,37.69,-109.347,Historical,5577,"16 - Above 6,500 feet
",0,0,3/4/2021
Green River District Programmatic Pile Plan,3/4/2021,3/10/2021,BLM,Green River District,12,Piles,,40.578,-109.653,Historical,4800,"16 - Above 6,500 feet
",0,0,3/4/2021
La Sal (D4) Pile Rx,3/3/2021,3/9/2021,USFS,Manti-La Sal North Zone,10,Piles,"Community of Castle Valley, City of Moab, Residences of Willow Basin, Community of Pack Creek",38.479,-109.278,Historical,7000,"16 - Above 6,500 feet
",0,0,3/2/2021
Fremont River Slash Pile ,3/3/2021,3/9/2021,USFS,Fishlake NF Richfield,47,Piles,,38.221,-111.462,Historical,6500,"16 - Above 6,500 feet
",0,0,3/2/2021
Willow Pile and Mastication RX,3/3/2021,3/4/2021,USFS,Manti-La Sal South Zone,0.5,Other,"Manti, Ephraim, Mt Pleasant, Spring City",39.299,-111.514,Historical,6800,"16 - Above 6,500 feet
",0,0,3/2/2021
Powell District Piles,3/3/2021,3/9/2021,USFS,Dixie NF Pine Valley,50,Piles,"Bryce Valley area, Bryce Canyon National Park",37.555,-112.312,Historical,7000,"16 - Above 6,500 feet
",0,0,3/1/2021
Cedar City Piles,3/1/2021,3/7/2021,USFS,Dixie NF Cedar City,600,Piles,,37.625,-112.674,Historical,7300,"16 - Above 6,500 feet
",0,0,2/24/2021
Devil Canyon,2/24/2021,3/2/2021,BLM,Canyon Country District,100,Piles,,37.69,-109.347,Historical,5577,"16 - Above 6,500 feet
",0,0,2/23/2021
Blanding East Piles,2/24/2021,3/2/2021,BLM,Canyon Country District,100,Piles,,37.71,-109.464,Historical,5200,"15 - San Juan R.
",0,0,2/23/2021
Green River District Programmatic Pile Plan,2/24/2021,3/2/2021,BLM,Green River District,20,Piles,,40.579,-109.655,Historical,4800,"16 - Above 6,500 feet
",0,0,2/23/2021
D4 Piles,2/23/2021,3/2/2021,USFS,Dixie NF Cedar City,50,Piles,,37.954,-111.846,Historical,8200,1 - N. West Desert,0,0,2/22/2021
Juab County Piles,2/23/2021,2/23/2021,LPE,Local or Private Entity,10,Piles,,39.868,-112.136,Historical,4500,"8 - S. Wasatch Front
",0,0,2/22/2021
Fremont River Slash Pile ,2/23/2021,3/1/2021,USFS,Fishlake NF Richfield,105,Piles,,38.218,-111.426,Historical,6500,"16 - Above 6,500 feet
",0,0,2/22/2021
UOA Piles,2/22/2021,2/26/2021,BIA,Uintah and Ouray Agency,10,Piles,"Randlett, Ft. Duchesne, Myton",40.192,-109.921,Historical,4750,1 - N. West Desert,0,0,2/17/2021
Beaver Ranger District Slash Piles,2/18/2021,2/24/2021,USFS,Fishlake NF Beaver,50,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,2/16/2021
Deseret West,2/18/2021,2/25/2021,State,Bear River Area,15,Broadcast,,41.306,-111.402,Historical,6500,"16 - Above 6,500 feet
",0,0,2/16/2021
Blanding East Piles,2/17/2021,2/23/2021,BLM,Canyon Country District,100,Piles,,37.718,-109.474,Historical,5200,"15 - San Juan R.
",0,0,2/16/2021
Devil Canyon,2/16/2021,2/22/2021,BLM,Canyon Country District,70,Piles,,37.725,-109.396,Historical,5577,"16 - Above 6,500 feet
",0,0,2/16/2021
Cedar City Piles,2/16/2021,2/22/2021,USFS,Dixie NF Cedar City,800,Piles,,37.503,-112.54,Historical,7300,"16 - Above 6,500 feet
",0,0,2/12/2021
Beaver Ranger District Slash Piles,2/11/2021,2/17/2021,USFS,Fishlake NF Beaver,50,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,2/11/2021
D4 Piles,2/11/2021,2/18/2021,USFS,Dixie NF Cedar City,40,Piles,,37.954,-111.846,Historical,8200,1 - N. West Desert,0,0,2/11/2021
Green River District Programmatic Pile Plan,2/11/2021,2/12/2021,BLM,Green River District,430,Piles,,39.713,-110.166,Historical,4800,"16 - Above 6,500 feet
",0,0,2/10/2021
North Zone Piles,2/11/2021,2/17/2021,USFS,UWC NF North Zone,0.25,Piles,Logan,41.758,-111.708,Historical,4000,"4 - Cache/Bear R.
",0,0,2/9/2021
Cedar City Piles,2/9/2021,2/15/2021,USFS,Dixie NF Cedar City,800,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,2/8/2021
Zion Grass RX,2/10/2021,2/16/2021,NPS,Utah NPS Units,26,Broadcast,,37.211,-112.977,Historical,3999,"3 - Virgin R.
",1,0,2/8/2021
Abajo (D5) PILE RX,2/8/2021,2/14/2021,USFS,Manti-La Sal South Zone,10,Piles,"Monticello , blue mountain ranch ",37.782,-109.502,Historical,6501,"16 - Above 6,500 feet
",0,0,2/8/2021
Fremont River Slash Pile ,2/8/2021,2/14/2021,USFS,Fishlake NF Richfield,130,Piles,,38.214,-111.419,Historical,6500,"16 - Above 6,500 feet
",0,0,2/5/2021
Lowrey Water,2/8/2021,2/12/2021,State,Southeastern Area,1,Piles,,39.359,-111.275,Historical,7100,"16 - Above 6,500 feet
",0,0,2/4/2021
Old Fort Ponds,4/7/2021,4/8/2021,State,Northeastern Area,1.5,Broadcast,,40.491,-109.588,Historical,5622,1 - N. West Desert,0,1,2/3/2021
Devil Canyon,2/2/2021,2/8/2021,BLM,Canyon Country District,119,Piles,,37.702,-109.375,Historical,5577,"16 - Above 6,500 feet
",0,0,2/3/2021
Green River District Programmatic Pile Plan,2/3/2021,2/9/2021,BLM,Green River District,20,Piles,,40.574,-109.667,Historical,4800,"16 - Above 6,500 feet
",0,0,2/2/2021
D4 Piles,2/2/2021,2/9/2021,USFS,Dixie NF Cedar City,140,Piles,,37.954,-111.846,Historical,8200,1 - N. West Desert,0,0,2/2/2021
Cedar City Piles,3/2/2021,3/8/2021,USFS,Dixie NF Cedar City,400,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,2/2/2021
Pine Valley District Piles,2/2/2021,2/8/2021,USFS,Dixie NF Pine Valley,36,Piles,"Veyo, New Harmony, Central",37.444,-113.494,Historical,5200,1 - N. West Desert,0,0,2/1/2021
Green River District Programmatic Pile Plan,2/3/2021,2/9/2021,BLM,Green River District,130,Piles,,39.572,-109.396,Historical,4800,"16 - Above 6,500 feet
",0,0,2/1/2021
Green River District Programmatic Pile Plan,2/3/2021,2/9/2021,BLM,Green River District,130,Piles,,39.572,-109.396,Historical,4800,"16 - Above 6,500 feet
",0,0,2/1/2021
Beaver Ranger District Slash Piles,2/3/2021,2/9/2021,USFS,Fishlake NF Beaver,50,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,2/1/2021
Blanding East Piles,1/1/2021,1/7/2021,BLM,Canyon Country District,100,Piles,,37.71,-109.464,Historical,5200,"15 - San Juan R.
",0,0,1/27/2021
Devil Canyon,1/1/2021,1/7/2021,BLM,Canyon Country District,100,Piles,,37.69,-109.347,Historical,5577,"16 - Above 6,500 feet
",0,0,1/27/2021
Beaver Ranger District Slash Piles,1/27/2021,2/2/2021,USFS,Fishlake NF Beaver,50,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,1/26/2021
East Zone Pile Burn,1/28/2021,2/4/2021,USFS,UWC NF North Zone,100,Piles,,40.58,-110.978,Historical,7,"16 - Above 6,500 feet
",0,0,1/26/2021
Cedar City Piles,1/26/2021,2/1/2021,USFS,Dixie NF Cedar City,800,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,1/25/2021
Pine Valley District Piles,1/26/2021,1/29/2021,USFS,Dixie NF Pine Valley,50,Piles,"Veyo, New Harmony, Central",37.444,-113.494,Historical,5200,1 - N. West Desert,0,0,1/25/2021
Summit Park Pile Burn,1/26/2021,1/29/2021,LPE,Local or Private Entity,3,Piles,,40.735,-111.616,Historical,7,"16 - Above 6,500 feet
",0,0,1/25/2021
Abajo (D5) PILE RX,1/25/2021,1/31/2021,USFS,Manti-La Sal South Zone,10,Piles,"Monticello , blue mountain ranch ",37.782,-109.502,Historical,6501,"16 - Above 6,500 feet
",0,0,1/25/2021
Zion Piles,1/25/2021,1/31/2021,NPS,Utah NPS Units,20,Piles,,37.214,-112.962,Historical,3900,"3 - Virgin R.
",1,0,1/24/2021
Deseret West,1/25/2021,1/26/2021,State,Bear River Area,15,Broadcast,,41.305,-111.403,Historical,6500,"16 - Above 6,500 feet
",0,0,1/22/2021
Summit Park Pile Burn,1/22/2021,1/25/2021,LPE,Local or Private Entity,3,Piles,,40.735,-111.616,Historical,7,"16 - Above 6,500 feet
",0,0,1/21/2021
Green River District Programmatic Pile Plan,1/23/2021,1/29/2021,BLM,Green River District,217,Piles,,39.568,-109.393,Historical,4800,"16 - Above 6,500 feet
",0,0,1/21/2021
Maintenance Piles,1/25/2021,2/1/2021,NPS,Utah NPS Units,50,Piles,,37.626,-112.177,Historical,7432,1 - N. West Desert,1,0,1/20/2021
Maintenance Piles,NULL,NULL,NPS,Utah NPS Units,NULL,Piles,,37.625,-112.175,Historical,7432,1 - N. West Desert,1,0,1/20/2021
East Zone Pile Burn,1/20/2021,1/27/2021,USFS,UWC NF North Zone,50,Piles,,40.586,-110.981,Historical,7,"16 - Above 6,500 feet
",0,0,1/19/2021
Beaver Ranger District Slash Piles,1/20/2021,1/26/2021,USFS,Fishlake NF Beaver,100,Piles,,38.241,-112.462,Historical,6500,"16 - Above 6,500 feet
",0,0,1/19/2021
Sawyer Point,1/19/2021,1/25/2021,USFS,Dixie NF Cedar City,500,Understory,"Hatch, Highway 89",37.537,-112.523,Historical,7090,"16 - Above 6,500 feet
",0,0,1/19/2021
Duck Creek Fuels Aspen,1/19/2021,1/25/2021,USFS,Dixie NF Cedar City,400,Broadcast,Duck Creek Village,37.497,-112.647,Historical,7300,"16 - Above 6,500 feet
",0,0,1/19/2021
Cedar City Piles,1/19/2021,1/25/2021,USFS,Dixie NF Cedar City,800,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,1/19/2021
Devil Canyon,1/20/2021,1/26/2021,BLM,Canyon Country District,100,Piles,,37.69,-109.347,Historical,5577,"15 - San Juan R.
",0,0,1/19/2021
Wray Mesa,1/13/2021,1/14/2021,State,Southeastern Area,3,Piles,"Paradox, Old La Sal",38.313,-109.217,Historical,7000,1 - N. West Desert,0,0,1/12/2021
East Zone Pile Burn,1/13/2021,1/20/2021,USFS,UWC NF North Zone,100,Piles,,40.569,-111.03,Historical,7,"16 - Above 6,500 feet
",0,0,1/11/2021
Rainbow Point Piles,1/13/2021,1/20/2021,NPS,Utah NPS Units,34,Piles,,37.474,-112.24,Historical,9035,1 - N. West Desert,1,0,1/11/2021
D4 Piles,1/12/2021,1/19/2021,USFS,Dixie NF Cedar City,140,Piles,,37.816,-111.832,Historical,8200,1 - N. West Desert,0,0,1/11/2021
Cedar City Piles,1/12/2021,1/18/2021,USFS,Dixie NF Cedar City,500,Piles,,37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,1/11/2021
Beaver Ranger District Slash Piles,1/6/2021,1/12/2021,USFS,Fishlake NF Beaver,100,Piles,,38.31,-112.407,Historical,6500,"16 - Above 6,500 feet
",0,0,1/5/2021
Cedar City Piles,1/5/2021,1/11/2021,USFS,Dixie NF Cedar City,800,Piles,"Mammoth Creek Subdivision, Duck Creek Village, Brian Head",37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,1/4/2021
East Zone Pile Burn,1/5/2021,1/11/2021,USFS,UWC NF North Zone,20,Piles,,40.569,-111.032,Historical,7,"16 - Above 6,500 feet
",0,0,1/4/2021
Rainbow Point Piles,1/5/2021,1/12/2021,NPS,Utah NPS Units,34,Piles,,37.474,-112.24,Historical,9035,1 - N. West Desert,1,0,1/4/2021
D4 Piles,1/4/2021,1/11/2021,USFS,Dixie NF Cedar City,280,Piles,,37.816,-111.832,Historical,8200,1 - N. West Desert,0,0,1/4/2021
East Zone Pile Burn,12/17/2020,12/24/2020,USFS,UWC NF North Zone,100,Piles,,40.583,-110.977,Historical,7,"16 - Above 6,500 feet
",0,0,12/16/2020
Rainbow Point Piles,12/18/2020,12/23/2020,NPS,Utah NPS Units,34,Piles,,37.474,-112.24,Historical,9035,1 - N. West Desert,1,0,12/15/2020
Duck Creek Fuels Piles,12/15/2020,12/21/2020,USFS,Dixie NF Cedar City,600,Partial Burn,"Duck Creek Village, Strawberry Subdivision",37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,12/14/2020
Cedar City Piles,12/15/2020,12/21/2020,USFS,Dixie NF Cedar City,800,Piles,"Mammoth Creek Subdivision, Duck Creek Village, Brian Head",37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,12/14/2020
Sawyer Point,12/15/2020,12/21/2020,USFS,Dixie NF Cedar City,600,Understory,"Utah State Highway 89, Hatch, Utah",37.535,-112.526,Historical,7090,"16 - Above 6,500 feet
",0,0,12/14/2020
East Zone Pile Burn,12/16/2020,12/23/2020,USFS,UWC NF North Zone,100,Piles,,40.587,-110.975,Historical,7,"16 - Above 6,500 feet
",0,0,12/14/2020
East Zone Pile Burn,12/16/2020,12/23/2020,USFS,UWC NF North Zone,50,Piles,,40.497,-111.089,Historical,7,"16 - Above 6,500 feet
",0,0,12/14/2020
East Zone Pile Burn,12/16/2020,12/23/2020,USFS,UWC NF North Zone,100,Piles,,40.573,-111.146,Historical,7,"16 - Above 6,500 feet
",0,0,12/14/2020
Powell District Piles,12/14/2020,12/20/2020,USFS,Dixie NF Pine Valley,100,Piles,"Bryce Valley area, Bryce Canyon National Park",37.43,-112.199,Historical,7000,"16 - Above 6,500 feet
",0,0,12/14/2020
Devil Canyon,12/15/2020,12/21/2020,BLM,Canyon Country District,100,Piles,,37.69,-109.347,Historical,5577,"16 - Above 6,500 feet
",0,0,12/14/2020
Toll Canyon Pile Burn,12/14/2020,12/17/2020,LPE,Local or Private Entity,2,Piles,,40.734,-111.61,Historical,6900,"16 - Above 6,500 feet
",0,0,12/13/2020
Sawyer Point,12/8/2020,12/14/2020,USFS,Dixie NF Cedar City,800,Understory,"Utah State Highway 89, Hatch, Utah",37.535,-112.526,Historical,7090,"16 - Above 6,500 feet
",0,0,12/11/2020
Henrie Knolls North,12/14/2020,12/20/2020,USFS,Dixie NF Powell,800,Understory,"Duck Creek Village, Mammoth Creek Subdivision",37.6,-112.657,Historical,7900,"16 - Above 6,500 feet
",0,0,12/11/2020
Duck Creek Fuels Piles,12/8/2020,12/14/2020,USFS,Dixie NF Cedar City,600,Partial Burn,"Duck Creek Village, Strawberry Subdivision",37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,12/11/2020
