Permit Number,BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
ARF-10-116,Evergreen 32 & 5,116,USFS,ARF,Arapaho/Roosevelt National Forests,p,,25,1885,,17,5830,90, ,  ,5,S,71,W,32
ARF-10-117,Lake Pasture,117,USFS,ARF,Arapaho/Roosevelt National Forests,p,,18000,236,,4525,208.7624,81.85069, ,  ,4,N,72,W,21
ARF-10-135,Sugarloaf Unit 3,135,USFS,ARF,Arapaho/Roosevelt National Forests,p,,500,151,,135,151,87.03704, ,  ,1,N,72,W,10
ARF-10-136,Evergreen 6B,136,USFS,ARF,Arapaho/Roosevelt National Forests,p,,5,828,,33,5102.727,90, ,  ,5,S,71,W,31
ARF-10-152,Box Prairie Piles,152,USFS,ARF,Arapaho/Roosevelt National Forests,p,,700,236,,322,236,95, ,  ,7,N,72,W,7
ARF-10-172,A Bay Temp Storage Piles,172,USFS,ARF,Arapaho/Roosevelt National Forests,p,,20,1571,,20,1571,80, ,  ,2,N,76,W,11
ARF-10-173,ANRA Landing Piles,173,USFS,ARF,Arapaho/Roosevelt National Forests,p,,250,5301,,202,5301,79.62872, ,  ,3,N,76,W,15
ARF-10-174,Blue Ridge South Piles,174,USFS,ARF,Arapaho/Roosevelt National Forests,p,,3000,396,,,,, ,  ,1,S,77,W,3
ARF-10-175,East Elk Ridge Creek,175,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4000,465,,300,555,68.71622, ,  ,2,S,75,W,7
ARF-10-201,Upper Fraser Piles,201,USFS,ARF,Arapaho/Roosevelt National Forests,p,,2100,2621,,35,396,90, ,  ,1,S,76,W,25
ARF-10-204,Vasquez Ridge Piles,204,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4000,396,,150,396,80, ,  ,2,S,75,W,17
ARF-10-207,Stub Creek Piles,207,USFS,ARF,Arapaho/Roosevelt National Forests,p,,900,236,,1258,151,90, ,  ,10,N,76,W,22
ARF-10-240,Meadow Creek Reservoir,240,USFS,ARF,Arapaho/Roosevelt National Forests,p,,100,275,,10,275,50, ,  ,1,N,75,W,12
ARF-10-241,Willow Creek Canal,241,USFS,ARF,Arapaho/Roosevelt National Forests,p,,35,85,,10,85,100, ,  ,2,N,76,W,10
ARF-10-242,Pratt Creek 4 (Machine Piles),242,USFS,ARF,Arapaho/Roosevelt National Forests,p,,4,18850,,,,, ,  ,11,N,73,W,4
ARF-10-244,Pawnee 2010,244,USFS,ARF,Arapaho/Roosevelt National Forests,b,1162,,,,,,, ,  ,9,N,63,W,35
ARF-10-245,Sheep Creek 2,245,USFS,ARF,Arapaho/Roosevelt National Forests,b,1868,,,,,,, ,  ,11,N,73,W,33
ARF-10-337,Panhandle Creek Piles,337,USFS,ARF,Arapaho/Roosevelt National Forests,p,,520,236,,162,236,95, ,  ,10,N,74,W,6
ARF-10-363,Jericho Road,363,USFS,ARF,Arapaho/Roosevelt National Forests,p,,150,454,,,,, ,  ,3,N,75,W,5
ARF-10-367,Denver Creek,367,USFS,ARF,Arapaho/Roosevelt National Forests,p,,50,395,,50,395,90,40.25,-106.08,3,N,78,W,1
ARF-10-375,Shadow Mountain Lake,375,USFS,ARF,Arapaho/Roosevelt National Forests,p,,800,454,,,,, ,  ,3,N,76,W,14
ARF-10-376,Sunnyshores,376,USFS,ARF,Arapaho/Roosevelt National Forests,p,,800,454,,,,, ,  ,2,N,76,W,11
ARF-10-382,Sugarloaf 151,382,USFS,ARF,Arapaho/Roosevelt National Forests,p,,250,151,,,,, ,  ,1,S,72,W,8
ARF-10-387,Yankee Hill 24,387,USFS,ARF,Arapaho/Roosevelt National Forests,p,,100,38,,65,38,90, ,  ,2,S,72,W,30
GMF-10-023,Mesa Lake Piles,23,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,50,884,,39,450,98, ,  ,11,S,96,W,34
GMF-10-096,Kannah Creek Piles,96,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,250,850,,327,750,98, ,  ,12,S,97,W,34
GMF-10-098,Ward Lake Piles,98,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,500,884,,,,, ,  ,11,S,95,W,35
GMF-10-108,Columbine Wildlife Oak Burn,108,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,715,,,250,,,, ,  ,48,N,14,W,14
GMF-10-109,Horse Pasture Pit,109,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,6,619,,1,750,98, ,  ,44,N,13,W,9
GMF-10-114,Reade Hill Wildlife Oak Burn,114,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,915,,,,,,, ,  ,47,N,12,W,31
GMF-10-146,Dave Wood,146,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1360,,,,,,, ,  ,46,N,10,W,3
GMF-10-157,Bear Paw,157,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2567,,,590,,,, ,  ,14,S,90,W,13
GMF-10-158,Divide Campground & Raspberry Piles,158,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,12,20,,,,, ,  ,47,N,12,W,21
GMF-10-159,WAPA/Tri-State Clearcuts,159,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,177,,,50,,,, ,  ,47,N,12,W,13
GMF-10-160,Tri State Piles,160,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,1500,1135,,530,1169.274,73.18695, ,  ,47,N,12,W,14
GMF-10-170,Sims Mesa,170,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,500,,,180,,,, ,  ,47,N,10,W,34
GMF-10-183,Pine Mountain,183,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,800,,,300,,,, ,  ,51,N,18,W,11
GMF-10-184,One Mile,184,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2500,,,408,,,, ,  ,15,S,84,W,16
GMF-10-185,Taylor Canyon,185,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,3000,,,32,,,, ,  ,15,S,84,W,11
GMF-10-186,Tomichi,186,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,2000,,,229,,,,38.32,-106.52,47,N,4,E,16
GMF-10-187,Little Monitor,187,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,450,,,,,,,38.52,-108.3,,,,,
GMF-10-208,Los Pinos,208,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,,,,,,38.24,-106.85,46,N,1,E,32
GMF-10-209,Alpine,209,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,750,,,5,,,,38.14,-107.32,45,N,4,W,4
GMF-10-210,West Elk,210,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1200,,,,,,,38.58,-107.18,50,N,3,W,31
GMF-10-222,Battlements Sudden Aspen Decline (SAD),222,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1500,,,300,,,, ,  ,8,S,95,W,23
GMF-10-223,Yellow Pine,223,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,800,,,69,,,, ,  ,49,N,3,E,1
GMF-10-224,Ohio City-Pitkin,224,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,800,,,,,,, ,  ,50,N,3,E,13
GMF-10-331,Escalante,331,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,b,1300,,,140,,,, ,  ,49,N,14,W,25
GMF-10-336,Old Monarch,336,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,141,516,,135,516,98, ,  ,49,N,5,E,3
GMF-10-343,North Tincup TS,343,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,29,1077,,29,1077,95,38.77,-106.47,15,S,81,W,16
GMF-10-344,Buffalo Fork TS,344,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,53,6920,,38,6920,95, ,  ,50,N,4,E,24
GMF-10-352,West Mountain,352,USFS,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,2500,471,,1154,471,70, ,  ,50,N,4,E,5
MLF-10-283,Buckeye Unit (Carpenter Ridge),283,USFS,MLF,Manti La Salle National Forests,b,100,,,,,,,38.56,-109.04,,,,,
PSF-10-002,Highway 67 Piles,2,USFS,PSF,Pike/San Isabel National Forests,p,,3225,285,,548,273.5894,90.15707, ,  ,11,S,69,W,9
PSF-10-012,Rocky Gulch Stewardship Contract,12,USFS,PSF,Pike/San Isabel National Forests,p,,176,3000,,169,3000,95, ,  ,12,S,72,W,25
PSF-10-013,Messenger ARRA Stewardship Contract,13,USFS,PSF,Pike/San Isabel National Forests,p,,105,3500,,,,, ,  ,13,S,73,W,5
PSF-10-014,Howard I ARRA Stewardship Contract Piles,14,USFS,PSF,Pike/San Isabel National Forests,p,,380,4000,,247,3000,95, ,  ,13,S,71,W,4
PSF-10-025,3-4 Elk,25,USFS,PSF,Pike/San Isabel National Forests,p,,1400,113,,635,151,90, ,  ,13,S,79,W,15
PSF-10-026,Ranch of the Rockies,26,USFS,PSF,Pike/San Isabel National Forests,p,,150,594,,64,85,90, ,  ,13,s,77,w,23
PSF-10-027,Browns Creek,27,USFS,PSF,Pike/San Isabel National Forests,p,,500,174,,175,557,86,38.65,-106.18,51,N,7,E,24
PSF-10-030,Chalk Creek Piles,30,USFS,PSF,Pike/San Isabel National Forests,p,,900,151,,,,, ,  ,15,S,79,W,26
PSF-10-031,Frenchman Creek,31,USFS,PSF,Pike/San Isabel National Forests,p,,150,151,,135,151,90,38.91,-106.21,13,S,79,W,4
PSF-10-032,Unit 121 (Gametrail),32,USFS,PSF,Pike/San Isabel National Forests,p,,1100,201,,500,201,90,38.91,-106.21,13,S,79,W,28
PSF-10-033,North Cottonwood,33,USFS,PSF,Pike/San Isabel National Forests,p,,350,151,,260,151,90,38.82,-106.22,14,S,79,W,4
PSF-10-034,NW Leadville,34,USFS,PSF,Pike/San Isabel National Forests,p,,750,151,,536,151,90, ,  ,9,S,80,W,10
PSF-10-035,Squaw Creek,35,USFS,PSF,Pike/San Isabel National Forests,p,,150,236,,50,236,90, ,  ,50,N,7,E,13
PSF-10-036,Weldon,36,USFS,PSF,Pike/San Isabel National Forests,p,,225,1018,,222,1018,90,38.57,-106.19,50,N,7,E,15
PSF-10-037,Monument Fire Center (MFC) Piles,37,USFS,PSF,Pike/San Isabel National Forests,p,,250,314,,23,360,95, ,  ,11,S,67,W,17
PSF-10-038,Shaded Fuel Break,38,USFS,PSF,Pike/San Isabel National Forests,p,,5000,101,,,,, ,  ,8,S,70,W,19
PSF-10-047,"Howard 1, 08 TSI (Blue Mtn TSI)",47,USFS,PSF,Pike/San Isabel National Forests,p,,700,191,,205,200,99, ,  ,13,S,71,W,8
PSF-10-048,Buffalo Jones TS,48,USFS,PSF,Pike/San Isabel National Forests,p,,30,1571,,,,, ,  ,12,s,77,w,25
PSF-10-049,Rim Rock Piles,49,USFS,PSF,Pike/San Isabel National Forests,p,,600,191,,112,196,97, ,  ,13,S,72,W,21
PSF-10-050,Leadville National Fish Hathchery,50,USFS,PSF,Pike/San Isabel National Forests,p,,1,1257,,,,, ,  ,9,S,81,W,36
PSF-10-051,Sleeping Tom Summer Home Group Thinning,51,USFS,PSF,Pike/San Isabel National Forests,p,,125,126,,75,126,99, ,  ,13,S,72,W,1
PSF-10-053,Road 251 Thinning,53,USFS,PSF,Pike/San Isabel National Forests,p,,900,191,,172,200,99, ,  ,12,S,72,W,33
PSF-10-084,Comanche - Las Animas,84,USFS,PSF,Pike/San Isabel National Forests,b,2060,,,,,,, ,  ,32,S,55,W,13
PSF-10-110,Rampart Piles,110,USFS,PSF,Pike/San Isabel National Forests,p,,500,314,,63,314,95, ,  ,11,S,68,W,32
PSF-10-122,Black Mtn Piles,122,USFS,PSF,Pike/San Isabel National Forests,p,,850,223,,1,223,95, ,  ,24,S,70,W,28
PSF-10-123,Horn Creek & Alvarado Piles,123,USFS,PSF,Pike/San Isabel National Forests,p,,50,1885,,1,1885,90,38.04,-105.54,23,S,73,W,15
PSF-10-131,Fishcreek - P1,131,USFS,PSF,Pike/San Isabel National Forests,b,200,,,,,,, ,  ,13,S,71,W,18
PSF-10-132,Sky Island,132,USFS,PSF,Pike/San Isabel National Forests,b,1820,,,755,,,, ,  ,13,S,72,W,8
PSF-10-133,Road Gulch - Units P1/P2,133,USFS,PSF,Pike/San Isabel National Forests,b,375,,,,,,, ,  ,13,S,72,W,22
PSF-10-134,Wagon Tongue - Units P1-3,134,USFS,PSF,Pike/San Isabel National Forests,b,1250,,,,,,, ,  ,13,S,72,W,14
PSF-10-161,CWC Piles,161,USFS,PSF,Pike/San Isabel National Forests,p,,10,1325,,,,, ,  ,31,S,47,W,7
PSF-10-162,Picket Wire Piles,162,USFS,PSF,Pike/San Isabel National Forests,p,,300,275,,,,,37.51,-103.68,29,S,56,W,3
PSF-10-163,Trout West,163,USFS,PSF,Pike/San Isabel National Forests,b,1500,,,,,,, ,  ,11,S,69,W,1
PSF-10-218,AG Piles,218,USFS,PSF,Pike/San Isabel National Forests,p,,269,2642,,,,, ,  ,7,s,73,w,20
PSF-10-237,Black Mountain Fire Restoration,237,USFS,PSF,Pike/San Isabel National Forests,b,1800,,,362,,,, ,  ,24,S,70,W,21
PSF-10-273,O'Haver Lake,273,USFS,PSF,Pike/San Isabel National Forests,b,700,,,,,,, ,  ,48,N,7,E,1
PSF-10-274,Threemile Creek,274,USFS,PSF,Pike/San Isabel National Forests,b,150,,,100,,,,38.7,-106.16,51,N,7,E,25
PSF-10-299,O-Brien - Unit P1-4,299,USFS,PSF,Pike/San Isabel National Forests,b,1500,,,118,,,, ,  ,13,S,72,W,25
PSF-10-321,Wagon Tongue - Unit P4,321,USFS,PSF,Pike/San Isabel National Forests,b,178,,,,,,, ,  ,13,S,72,W,28
PSF-10-338,Pan Ark,338,USFS,PSF,Pike/San Isabel National Forests,p,,150,151,,99,151,88, ,  ,11,S,80,W,8
PSF-10-339,Lodgepole Flats Broadcast,339,USFS,PSF,Pike/San Isabel National Forests,b,400,,,65,,,, ,  ,10,S,80,W,19
PSF-10-340,Four Elk Broadcast,340,USFS,PSF,Pike/San Isabel National Forests,b,835,,,,,,, ,  ,13,S,79,W,10
PSF-10-353,Red Deer Piles,353,USFS,PSF,Pike/San Isabel National Forests,p,,350,151,,,,,38.84,-106.27,14,S,79,W,9
PSF-10-354,Cree Creek Piles,354,USFS,PSF,Pike/San Isabel National Forests,p,,20,1018,,,,,38.54,-106.22,50,N,7,E,32
PSF-10-355,Bassam Piles,355,USFS,PSF,Pike/San Isabel National Forests,p,,80,30,,,,, ,  ,14,S,75,W,31
PSF-10-356,Little Annie,356,USFS,PSF,Pike/San Isabel National Forests,p,,400,151,,,,,38.94,-106.13,13,S,78,W,5
PSF-10-380,Sledgehammer 4 Stewardship Contract,380,USFS,PSF,Pike/San Isabel National Forests,p,,55,1571,,,,, ,  ,13,S,72,W,22
RGF-10-072,Big Meadows Timber Piles,72,USFS,RGF,Rio Grande National Forest,p,,1,6008,,1,18850,95,37.52,-106.76,38,N,2,E,17
RGF-10-073,Burro/Blowout Timber Piles,73,USFS,RGF,Rio Grande National Forest,p,,40,275,,,,, ,  ,37,N,5,E,5
RGF-10-074,Twister/Twister II Timber Piles,74,USFS,RGF,Rio Grande National Forest,p,,30,275,,,,,37.71,-106.97,40,N,1,W,25
RGF-10-148,Finger Mesa Piles,148,USFS,RGF,Rio Grande National Forest,p,,100,69,,81,69,80, ,  ,41,N,4,W,14
RGF-10-150,Powder House 1a (Piles),150,USFS,RGF,Rio Grande National Forest,p,,1500,135,,750,135,90, ,  ,39,N,3,E,9
RGF-10-227,English Valley Rx (Units 1-4),227,USFS,RGF,Rio Grande National Forest,b,1500,,,900,,,, ,  ,41,N,5,E,22
RGF-10-275,Fox Creek - Alamaditas Broadcast Rx,275,USFS,RGF,Rio Grande National Forest,b,600,,,,,,, ,  ,33,N,6,E,1
RGF-10-316,November Broadcast Rx,316,USFS,RGF,Rio Grande National Forest,b,500,,,200,,,, ,  ,33,N,6,E,13
RGF-10-317,Powderhouse Unit 2,317,USFS,RGF,Rio Grande National Forest,b,187,,,,,,, ,  ,39,N,3,E,9
RGF-10-360,Grouse/La Manga T.S. Piles,360,USFS,RGF,Rio Grande National Forest,p,,21,470,,18,470,90,37.07,-106.43,33,N,5,E,20
RGF-10-374,Fox Creek Piles,374,USFS,RGF,Rio Grande National Forest,p,,100,57,,,,,37.04,-106.13,,,,,
RGF-10-386,Rustin Aspen Piles,386,USFS,RGF,Rio Grande National Forest,p,,10,6283,,10,6283,95, ,  ,38,N,4,E,14
RTF-10-176,Gore Pass Admin,176,USFS,RTF,Routt National Forest,p,,100,201,,97,201,90.36082, ,  ,2,N,83,W,27
RTF-10-202,Long Park,202,USFS,RTF,Routt National Forest,p,,150,7069,,,,, ,  ,1,N,83,W,14
RTF-10-205,Gore Lakes,205,USFS,RTF,Routt National Forest,p,,1000,275,,,,, ,  ,2,N,82,W,36
RTF-10-206,Seedhouse Broadcast,206,USFS,RTF,Routt National Forest,b,1155,,,,,,, ,  ,9,N,84,W,3
RTF-10-272,Hwy 134 Piles,272,USFS,RTF,Routt National Forest,p,,4300,6283,,137,5357.511,92.62063, ,  ,2,N,82,W,16
RTF-10-300,Buffalo Pass Admin Pile Burn,300,USFS,RTF,Routt National Forest,p,,100,275,,,,, ,  ,6,N,83,W,16
RTF-10-306,Big Creek Lakes Pile Burn,306,USFS,RTF,Routt National Forest,p,,700,275,,410,275,90,40.98,-106.63,12,N,82,W,16
RTF-10-307,Gould Pile Burn,307,USFS,RTF,Routt National Forest,p,,100,1571,,25,1050,95, ,  ,6,N,77,W,3
RTF-10-308,Green Ridge Timber Sale Pile Burn,308,USFS,RTF,Routt National Forest,p,,100,6283,,,,, ,  ,5,N,79,W,2
RTF-10-309,Grizzly Pile Burn,309,USFS,RTF,Routt National Forest,p,,300,1571,,290,685,95, ,  ,5,N,82,w,16
RTF-10-310,Seedhouse Pile Burn,310,USFS,RTF,Routt National Forest,p,,300,6283,,22,6278.455,80, ,  ,9,N,84,W,16
RTF-10-311,Slack-Weiss Reservoir Pile Burn,311,USFS,RTF,Routt National Forest,p,,50,275,,20,600,95,40.43,-106.37,5,N,80,W,4
RTF-10-314,Little Snake Pile Burn,314,USFS,RTF,Routt National Forest,p,,125,6283,,115,4971.835,89.01093, ,  ,10,N,84,W,16
RTF-10-315,Sand Mountain Pile Burn,315,USFS,RTF,Routt National Forest,p,,125,1571,,70,1571,88.21429, ,  ,9,N,85,W,16
RTF-10-318,FHTR 100 Pile Burn,318,USFS,RTF,Routt National Forest,p,,200,275,,38,6283,95, ,  ,3,N,82,W,5
RTF-10-334,Steamboat Ski Area Pile Burn,334,USFS,RTF,Routt National Forest,p,,30,7068,,8,7068,90, ,  ,6,N,84,W,23
SJF-10-001,Ute Fuels Reduction,1,USFS,SJF,San Juan National Forest,p,,100,400,,,,, ,  ,34,N,4,W,9
SJF-10-005,East Fork Campground Piles,5,USFS,SJF,San Juan National Forest,p,,35,71,,,,, ,  ,36,N,1,E,7
SJF-10-075,Chub Draw,75,USFS,SJF,San Juan National Forest,p,,100,39,,100,39,90, ,  ,37,N,3,W,4
SJF-10-076,Ice Cave Ridge,76,USFS,SJF,San Juan National Forest,p,,1000,48,,,,, ,  ,37,N,3,W,21
SJF-10-077,Hatcher Piles,77,USFS,SJF,San Juan National Forest,p,,500,57,,462,57,84.54546,37.32,-107.13,36,N,400,W,26
SJF-10-078,Chimney Rock,78,USFS,SJF,San Juan National Forest,p,,1500,101,,222,101,80,37.18,-107.31,,,,,
SJF-10-081,Ute Campground,81,USFS,SJF,San Juan National Forest,p,,250,85,,51,85,80, ,  ,34,N,4,W,14
SJF-10-093,Wickenson Mountain,93,USFS,SJF,San Juan National Forest,b,1025,,,,,,, ,  ,35,N,6,W,10
SJF-10-127,Upper Piedra,127,USFS,SJF,San Juan National Forest,p,,150,39,,161,39,90, ,  ,37,N,3,W,16
SJF-10-140,Burns Canyon,140,USFS,SJF,San Juan National Forest,b,990,,,,,,, ,  ,34,N,2,W,18
SJF-10-141,Devil Creek,141,USFS,SJF,San Juan National Forest,b,1314,,,178,,,,37.32,-107.18,,,,,
SJF-10-211,Piedra Aerial/Sheep Creek/Davis Creek,211,USFS,SJF,San Juan National Forest,b,3500,,,1116,,,,37.37,-107.32,,,,,
SJF-10-228,Chicken Creek,228,USFS,SJF,San Juan National Forest,p,,1200,71,,137,93,97, ,  ,37,N,13,W,32
SJF-10-231,Hidden Valley Piles,231,USFS,SJF,San Juan National Forest,p,,300,151,,,,, ,  ,36,N,9,W,21
SJF-10-232,East Animas Piles,232,USFS,SJF,San Juan National Forest,p,,3,150,,3,903,100, ,  ,36,N,9,W,15
SJF-10-260,Rabbit Mountain Piles,260,USFS,SJF,San Juan National Forest,p,,350,57,,,,, ,  ,35,N,7,W,19
SJF-10-261,Electra Lakes,261,USFS,SJF,San Juan National Forest,p,,7000,191,,1230,73.65854,90, ,  ,38,N,8,W,19
SJF-10-277,Doe Canyon,277,USFS,SJF,San Juan National Forest,b,600,,,115,,,, ,  ,40,N,16,W,19
SJF-10-281,Horsefly,281,USFS,SJF,San Juan National Forest,b,1400,,,73,,,,37.3,-107.33,,,,,
SJF-10-297,Hayden Creek,297,USFS,SJF,San Juan National Forest,b,262,,,,,,, ,  ,35,N,5,W,30
SJF-10-301,Hay Camp Point Piles,301,USFS,SJF,San Juan National Forest,p,,12,339,,11,339,95, ,  ,38,N,13,W,6
SJF-10-323,South Carver/Boundary,323,USFS,SJF,San Juan National Forest,b,1000,,,31,,,, ,  ,37,N,14,W,10
SJF-10-361,Little Carver Piles,361,USFS,SJF,San Juan National Forest,p,,50,134,,50,134,99, ,  ,37,N,14,W,12
SJF-10-368,Cayton Pile,368,USFS,SJF,San Juan National Forest,p,,1,1600,,1,1600,80,37.46,-107.58,,,,,
SJF-10-383,Animas Mountain Unit 2,383,USFS,SJF,San Juan National Forest,p,,650,180,,25,180,90,37.18,-107.54,,,,,
WRF-10-024,Frisco WUI,24,USFS,WRF,White River National Forest,p,,300,126,,295,126,90, ,  ,5,S,78,W,34
WRF-10-079,Piney River Ranch,79,USFS,WRF,White River National Forest,p,,250,236,,149,236.3221,62.0919, ,  ,4,S,81,W,14
WRF-10-080,Ryan Gulch,80,USFS,WRF,White River National Forest,p,,700,151,,509,127.5226,90.36058, ,  ,5,S,78,W,13
WRF-10-082,West Vail,82,USFS,WRF,White River National Forest,p,,3905,236,,731,236,95, ,  ,5,S,80,W,5
WRF-10-085,Gravel Pit,85,USFS,WRF,White River National Forest,p,,8,250,,8,250,70, ,  ,4,S,91,W,6
WRF-10-086,Redstone Campground,86,USFS,WRF,White River National Forest,p,,140,1405,,132,193,93, ,  ,10,S,88,W,16
WRF-10-087,Meadow Lake,87,USFS,WRF,White River National Forest,p,,1,3534,,,,, ,  ,3,S,91,W,12
WRF-10-178,NW Burn Block-Aldrich Lakes,178,USFS,WRF,White River National Forest,b,2000,,,880,,,, ,  ,3,N,90,W,4
WRF-10-179,West Divide,179,USFS,WRF,White River National Forest,b,2000,,,100,,,, ,  ,8,S,91,W,33
WRF-10-235,Peak 1 CG,235,USFS,WRF,White River National Forest,p,,50,1005,,3,236,95, ,  ,5,S,78,W,29
WRF-10-320,Yoder,320,USFS,WRF,White River National Forest,p,,40,3191,,14,1895.5,97.52519, ,  ,7,S,80,W,4
WRF-10-345,Ripple Creek,345,USFS,WRF,White River National Forest,p,,70,200,,57,189,93, ,  ,2,N,88,W,31
WRF-10-347,Trappers Lake,347,USFS,WRF,White River National Forest,p,,400,41,,190,185,90, ,  ,1,n,88,w,1
WRF-10-348,Homestake,348,USFS,WRF,White River National Forest,p,,400,105,,212,162.7783,95,39.44,-106.39,7,S,81,W,12
WRF-10-350,Sawmill Gulch,350,USFS,WRF,White River National Forest,p,,20,3191,,,,, ,  ,6,S,85,W,1
WRF-10-351,Gold Hill,351,USFS,WRF,White River National Forest,p,,35,393,,35,10,95, ,  ,6,S,78,W,12
WRF-10-359,Ute Creek WRF Piles,359,USFS,WRF,White River National Forest,p,,2,185,,2,113,94, ,  ,1,N,90,W,28
WRF-10-362,Portal Campground,362,USFS,WRF,White River National Forest,p,,2,311,,,,,39.07,-106.61,11,S,83,W,24
ALR-10-252,Alamosa Refuge Unit R/S,252,USFWS,ALR,Alamosa National Wildlife Refuge,b,700,,,,,,,37.37,-105.75,36,N,11,E,10
ALR-10-253,Unit P,253,USFWS,ALR,Alamosa National Wildlife Refuge,b,631,,,,,,,37.4,-105.77,37,N,11,E,33
ALR-10-265,Unit  C1 & D,265,USFWS,ALR,Alamosa National Wildlife Refuge,b,550,,,,,,,37.43,-105.79,,,,,
ARR-10-254,Anderson,254,USFWS,ARR,Arapaho National Wildlife Refuge,b,550,,,,,,, ,  ,8,N,79,W,20
ARR-10-346,Home,346,USFWS,ARR,Arapaho National Wildlife Refuge,b,90,,,,,,,40.71,-106.28,,,,,
BPR-10-249,Hog Lake,249,USFWS,BPR,Browns Park National Wildlife Refuge,b,300,,,,,,,40.83,-108.99,10,N,103,W,8
BPR-10-255,Brown's Park Grimes Piles,255,USFWS,BPR,Browns Park National Wildlife Refuge,p,,50,314,,4,4000,95,40.76,-108.89,,,,,
BPR-10-256,Spitzie,256,USFWS,BPR,Browns Park National Wildlife Refuge,b,150,,,100,,,,40.82,-108.95,10,N,103,W,15
MVR-10-266,"Parker Pond - Units 2, 8, 17",266,USFWS,MVR,Monte Vista National Wildlife Refuge,b,1100,,,,,,,37.48,-106.12,,,,,
MVR-10-267,Unit 15,267,USFWS,MVR,Monte Vista National Wildlife Refuge,b,620,,,,,,,37.48,-106.08,,,,,
RMR-10-257,Arsenal Broadcast Burns,257,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,b,5200,,,100,,,, ,  ,2,S,66,W,19
RMR-10-258,Arsenal Piles 2010,258,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,p,,200,586,,,,, ,,2,S,66,W,19
