name,acres,agency,unit,type,lat,lng,elevation,airshed,county,nonattainment,class1,de_minimis,tons_pm,models,has_plan,receptors,fuel_types,ignition_methods,objectives,erts,added_on
Devil Canyon,10,BLM,Canyon Country District,Piles,37.706,-109.385,6530,15 (San Juan R.),San Juan,FALSE,FALSE,Yes,0.85,"[""Pile Calculator""]",,Canyon Terrace ,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",1/3/2022
Steinaker,7,State,Northeastern Area,Piles,40.519,-109.542,5546,"9 - Uinta Basin
",Uintah,1,0,Yes,,NULL,1,,Short Grass,Drip Torch,NULL,NULL,12/2/2021
Grand County De Minimis Pile Burning,20,State,Southeastern Area,Piles,38.569,-109.548,4170,12 - Upper Colo. R.,Grand,FALSE,FALSE,Yes,0.1129,"[""BlueSky""]",TRUE,"Castle Valley, Moab, Arches NP","[""Hand Piles""]","[""Drip Torch""]","[""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",11/16/2021
Pinebrook HOA Pile Burn,13,LPE,Local or Private Entity,Piles,40.737,-111.566,6900,6 (Wasatch Back),Summit,FALSE,FALSE,Sometimes,0.6253,"[""Pile Calculator""]",TRUE,Greater Snyderville Basin. ,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",10/20/2021
Central Area Piles,400,State,Central Area,Piles,38.769,-112.057,7,"16 - Above 6,500 feet
",Sevier,0,0,No,,"[""NULL""]",1,,"[""Heavy Slash""]","[""Hand""]","[""NULL""]","[""NULL""]",10/18/2021
D4 Slash,3000,USFS,Fishlake NF Richfield,Broadcast,38.512,-111.991,6500,"16 - Above 6,500 feet",Sevier,FALSE,FALSE,Sometimes,143.38,"[""BlueSky""]",TRUE,,"[""Brush"",""Timber"",""P-J"",""Slash"",""Hand Piles"",""Machine Piles""]","[""Drip Torch""]","[""Wildlife Habitat Improvement"",""Fuel Reduction (Activity Fuels)"",""Project Maintenance""]","[""Increase Combustion Efficiency"",""Reduce Area Burned"",""Reduce Fuel Consumed""]",10/15/2021
Moab Admin burn plan ,100,BLM,Canyon Country District,Broadcast,38.563,-109.53,4000,12 - Upper Colo. R.,Grand,0,0,No,320,"[""BlueSky""]",1,Moab ,"[""Short Grass""]","[""Hand""]","[""Debris Removal""]","[""Increase Combustion Efficiency""]",10/14/2021
Pine Meadow Ranch HOA Piles,1,LPE,Local or Private Entity,Piles,40.803,-111.5,7800,"16 - Above 6,500 feet
",Summit,0,0,No,3.7,"[""Pile Calculator""]",1,,"[""Dormant Brush/Slash""]","[""Drip Torch""]","[""Debris Removal""]","[""Increase Combustion Efficiency""]",10/13/2021
Park City Municipal Open Space,55,LPE,Local or Private Entity,Piles,40.646,-111.501,7200,"16 - Above 6,500 feet",Summit,FALSE,FALSE,Sometimes,2.1392,"[""Pile Calculator""]",TRUE,City of Park City and greater Snyderville Basin. ,"[""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",10/13/2021
Castle Valley ,10,BLM,Canyon Country District,Piles,38.613,-109.379,4300,12 - Upper Colo. R.,Grand,0,0,No,,"[""BlueSky""]",1,,"[""Light Slash""]","[""Hand""]","[""Debris Removal""]","[""Increase Combustion Efficiency""]",9/16/2021
Heber-Kamas Pile Burn,10000,USFS,UWC NF East Zone,Piles,40.6,-110.985,9100,6 (Wasatch Back),Summit,FALSE,FALSE,Sometimes,70.37,"[""Pile Calculator""]",TRUE,,"[""Slash"",""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""Helitorch"",""PSD"",""Propane Torch""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Project Maintenance"",""Site Preparation"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",9/15/2021
Evanston-Mountain View Pile Burn,10000,USFS,UWC NF East Zone,Piles,40.957,-110.645,6700,"16 - Above 6,500 feet",Summit,FALSE,FALSE,Sometimes,198.58,"[""Pile Calculator""]",TRUE,"Evanston, Mountain View, Robertson, Lonetree, McKinnon, Manilla","[""Slash"",""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""Helitorch"",""PSD"",""Propane Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Project Maintenance"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency""]",9/15/2021
Burnt Beaver Rx,30000,USFS,UWC NF East Zone,Broadcast,40.897,-110.086,6500,"16 - Above 6,500 feet
",Summit,0,0,No,396.18,"[""BlueSky""]",1,,"[""Light Slash""]","[""Aerial""]","[""Fuel Reduction (Natural Fuels), Habitat Maintenance, Hazard Reduction, Wildlife Habitat Improvement""]","[""Increase Combustion Efficiency""]",9/15/2021
The Enclave HOA Pile Burn,20,LPE,Local or Private Entity,Piles,40.699,-111.56,6900,"16 - Above 6,500 feet",Summit,FALSE,FALSE,Sometimes,1.1519,"[""Pile Calculator""]",TRUE,Greater Snyderville Basin. ,"[""Timber"",""Hand Piles""]","[""Drip Torch"",""Propane Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",7/14/2021
Willard Bay State Park,1000,State,Bear River Area,Broadcast,41.403,-112.047,4242,"4 - Cache/Bear R.
",Box Elder,1,0,No,6,"[""BlueSky""]",1,,"[""Short Grass""]","[""Drip Torch""]","[""Exotic or Undesireable Species Control""]","[""Increase Combustion Efficiency""]",6/2/2021
Mayberry Burn FI-210,10,State,Southeastern Area,Broadcast,38.683,-109.427,4039,12 - Upper Colo. R.,Grand,0,0,Yes,0.04,Other,1,,Short Grass,Drip Torch,Fuel Reduction (Activity Fuels),Schedule Burning Before New Fuels Appear,4/16/2021
Last Chance/Porcupine ,13207,USFS,Fishlake NF Fremont River,Broadcast,38.65,-111.546,8300,"16 - Above 6,500 feet",Sevier,FALSE,FALSE,Sometimes,20.49,"[""BlueSky""]",TRUE,Capitol Reef National Park,"[""Timber""]","[""Drip Torch""]","[""Fire Dependent Ecosystem Maintenance""]","[""Increase Combustion Efficiency""]",4/6/2021
Dog Hollow Rx,140,State,Wasatch Front Area,Broadcast,39.99,-112.321,6200,1 - N. West Desert,Tooele,0,0,No,3.19,BlueSky,1,"Eureka, Vernon, Lofgren",Tall Grass,Drip Torch,"Vegetation Type Manipulation/Stand Improvement, Seed Bed Preparation, Hazard Reduction, Habitat Maintenance, Fuel Reduction (Natural Fuels), Debris Removal",Increase Combustion Efficiency,3/30/2021
La Sal (D4) Pile Rx,900,USFS,Manti-La Sal South Zone,Piles,38.479,-109.278,7000,"16 - Above 6,500 feet",Grand,FALSE,FALSE,No,0.14,"[""BlueSky""]",TRUE,"Community of Castle Valley, City of Moab, Residences of Willow Basin, Community of Pack Creek","[""Medium Slash""]","[""Drip Torch""]","[""Fuel Reduction (Natural Fuels)""]","[""Increase Combustion Efficiency""]",3/2/2021
Juab County Piles,500,LPE,Local Government,Piles,39.868,-112.136,4500,8 - S. Wasatch Front,Juab,FALSE,FALSE,Yes,20,"[""Pile Calculator""]",TRUE,,"[""Dormant Brush/Slash""]","[""Drip Torch""]","[""Debris Removal, Fire Dependent Ecosystem Maintenance, Fuel Reduction (Activity Fuels), Hazard Reduction""]","[""Increase Combustion Efficiency""]",2/22/2021
Green River District Pile Burn Plan,430.5,BLM,Green River District,Piles,39.25,-110.3,7250,12 (Upper Colo. R.),Emery,FALSE,FALSE,Sometimes,0.4,"[""Pile Calculator""]",TRUE,"Woodside, HWY 6","[""Brush""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance""]","[""Increase Combustion Efficiency""]",1/21/2021
Abajo (D5) PILE RX,5000,USFS,Manti-La Sal South Zone,Piles,37.782,-109.502,6501,"16 - Above 6,500 feet
",San Juan,0,0,No,,BlueSky,1,"Monticello , blue mountain ranch ",Light Slash,Drip Torch,Fuel Reduction (Activity Fuels),Increase Combustion Efficiency,1/20/2021
North Zone Timber Piles,500,USFS,Manti-La Sal North Zone,Piles,39.671,-111.244,8500,"16 - Above 6,500 feet",Emery,FALSE,FALSE,Sometimes,12.7,"[""Pile Calculator""]",TRUE,Skyline Mine,"[""Machine Piles""]","[""Drip Torch""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Health &#x2F; Insect Control""]","[""Increase Combustion Efficiency""]",1/19/2021
Old Woman,6000,USFS,Fishlake NF Beaver,Broadcast,38.843,-111.48,7400,"16 - Above 6,500 feet
",Sevier,0,0,No,,NULL,1,,Dormant Brush/Slash,PSD,NULL,NULL,1/13/2021
Old Fort Ponds,14,State,Northeastern Area,Broadcast,40.491,-109.588,5622,"9 - Uinta Basin
",Uintah,1,0,Yes,,Other,1,,Short Grass,Drip Torch,Exotic or Undesireable Species Control,Increase Combustion Efficiency,1/13/2021
Long Knoll,153,BLM,West Desert District,Piles,39.175,-112.068,5800,"8 - S. Wasatch Front
",Millard,0,0,No,16,"[""Pile Calculator""]",1,Scipio,"[""Short Grass""]","[""Drip Torch""]","[""Fuel Reduction (Activity Fuels)""]","[""Reduce Fuel Load""]",1/13/2021
Summit Park Pile Burn,17,LPE,Local or Private Entity,Piles,40.735,-111.616,8500,"16 - Above 6,500 feet",Summit,FALSE,FALSE,Sometimes,0.9976,"[""Pile Calculator""]",TRUE,Greater Snyderville Basin. ,"[""Timber"",""Hand Piles""]","[""Drip Torch""]","[""Hazard Reduction"",""Fuel Reduction (Activity Fuels)""]","[""Increase Combustion Efficiency""]",12/20/2020
FFSL Central Area Piles,10,State,Central Area,Piles,39.858,-111.48,7800,"16 - Above 6,500 feet
",Sevier,0,0,Yes,,"[""Pile Calculator""]",1,,"[""Timber""]","[""Drip Torch""]","[""Fuel Reduction (Natural Fuels)""]","[""Increase Combustion Efficiency""]",11/17/2020
Toll Canyon Pile Burn,15,LPE,Local or Private Entity,Piles,40.736,-111.598,6900,"16 - Above 6,500 feet
",Summit,0,0,Yes,0.5,Pile Calculator,1,,Timber,Drip Torch,Fuel Reduction (Activity Fuels),Increase Combustion Efficiency,11/16/2020
Raft River Pile Burning,90,USFS,Sawtooth National Forest,Piles,41.871,-113.569,7000,"16 - Above 6,500 feet
",Box Elder,0,0,No,6.5,Pile Calculator,1,"Snowville, Rosette, Park Valley, Lynn, Yost, Malta, Yost/Standrod Communities, Yost, Lynn, Malta, Park Valley, Naf, Rosette, Snowville",Brush,Drip Torch,"Wildlife Habitat Improvement, Health (Insect Control), Fire Dependent Ecosystem Maintenance",Increase Combustion Efficiency,11/12/2020
Shivwits Pile Burn,60,BIA,Southern Paiute Agency,Piles,37.194,-113.775,3000,3 - Virgin R.,Washington,FALSE,FALSE,Yes,10,"[""Pile Calculator""]",TRUE,,"[""Hand Piles""]","[""Drip Torch""]","[""Wildlife Habitat Improvement, Vegetation Type Manipulation/Stand Improvement, Hazard Reduction, Debris Removal""]","[""Increase Combustion Efficiency""]",11/9/2020
Miller Flat Piles ,40,USFS,Manti-La Sal North Zone,Piles,39.507,-111.259,8500,"16 - Above 6,500 feet",Sanpete,FALSE,FALSE,No,0.7,"[""Pile Calculator""]",TRUE,"Mt Pleasant, Coal Mine",Medium Slash,"[""Drip Torch""]","Fuel Reduction (Activity Fuels), Debris Removal","[""Increase Combustion Efficiency""]",11/9/2020
Shingle Mill,2000,USFS,Manti-La Sal South Zone,Broadcast,37.822,-109.408,7000,"16 - Above 6,500 feet
",San Juan,0,0,No,,"[""NULL""]",1,,"[""Hardwood Litter""]","[""Drip Torch""]","[""NULL""]","[""NULL""]",3/10/2020
Kannara Ridge Piles,130,State,Southwestern Area,Piles,37.46,-113.26,5300,"3 - Virgin R.
",Washington,0,0,No,8.44,Fuel and Fire Tools,1,"Kannaraville, New Harmony",Heavy Slash,Drip Torch,Fuel Reduction (Activity Fuels),Increase Combustion Efficiency,3/9/2020
Indian Peaks WMA,4500,State,Southwestern Area,Broadcast,38.266,-113.852,7200,"2 - S. West Desert
",Beaver,0,0,No,,NULL,1,,Brush,Drip Torch,NULL,NULL,3/9/2020
Matheson Wetlands Preserve RX,175,State,Southeastern Area,Broadcast,38.576,-109.574,3960,12 - Upper Colo. R.,Grand,0,0,No,,NULL,1,,Tall Grass,Drip Torch,NULL,NULL,3/3/2020
Desert Lake RX,20,State,Southeastern Area,Broadcast,39.374,-110.779,5575,12 - Upper Colo. R.,Carbon,0,0,Yes,,NULL,1,,Tall Grass,Drip Torch,NULL,NULL,3/3/2020
Aptus Rx,8,State,Wasatch Front Area,Broadcast,40.807,-112.927,4200,1 - N. West Desert,Tooele,1,0,Yes,1,FOFEM5,1,,Tall Grass,Drip Torch,"Seed Bed Preparation, Debris Removal",Increase Combustion Efficiency,3/3/2020
North Beaver Tanner Mountain,7712,USFS,Fishlake NF Beaver,Broadcast,38.39,-112.554,6500,"16 - Above 6,500 feet
",Beaver,0,0,No,,NULL,1,,Closed Timber Litter,Drip Torch,NULL,NULL,3/2/2020
Little Res. RX 2022,1290,USFS,Fishlake NF Beaver,Broadcast,38.253,-112.49,7000,"16 - Above 6,500 feet",Beaver,FALSE,FALSE,Sometimes,73.08,NULL,TRUE,,"[""Timber"",""Timber Litter""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Property Protection"",""Project Maintenance""]","[""Schedule Burning Before New Fuels Appear""]",3/2/2020
Gordon Creek RX,42,State,Southeastern Area,Broadcast,39.662,-111.013,7100,12 - Upper Colo. R.,Carbon,0,0,No,,Other,1,,Tall Grass,Drip Torch,Wildlife Habitat Improvement,Schedule Burning Before New Fuels Appear,3/2/2020
West Fork of Duchesne,10000,USFS,UWC NF East Zone,Broadcast,40.439,-111.024,7600,"16 - Above 6,500 feet",Wasatch,FALSE,FALSE,Sometimes,4500,"[""BlueSky""]",TRUE,"Tabiona, Utah, Duchesne, Utah, Hanna, Utah","[""Timber""]","[""Drip Torch"",""Helitorch"",""PSD"",""Propane Torch""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Project Maintenance"",""Veg Type Manipulation"",""Stand Improvement""]","[""Increase Combustion Efficiency""]",2/21/2020
Brian Head Slash,1600,State,Southwestern Area,Piles,37.725,-112.815,9000,"16 - Above 6,500 feet
",Iron,0,0,No,16,BlueSky,1,,Medium Slash,Drip Torch,Debris Removal,Reduce Fuel Production,2/20/2020
Salina Creek,20000,USFS,Fishlake NF Beaver,Broadcast,38.95,-111.464,7400,"16 - Above 6,500 feet
",Sevier,0,0,No,,NULL,1,,Dormant Brush/Slash,Aerial,NULL,NULL,1/30/2020
Moroni Peak,10000,USFS,Fishlake NF Beaver,Broadcast,38.765,-111.511,7600,"16 - Above 6,500 feet
",Sevier,0,0,No,67.48,SASEM2,1,,Dormant Brush/Slash,Aerial,Fuel Reduction (Natural Fuels),Increase Combustion Efficiency,1/30/2020
Willow Fuels Project (Piles and Broadcast),2500,USFS,Manti-La Sal North Zone,Broadcast,39.33,-111.511,6800,"16 - Above 6,500 feet",Sanpete,FALSE,FALSE,Sometimes,3.7,"[""Pile Calculator""]",TRUE,"Mt Pleasant, Spring City, Manti, Ephraim, Manti, Ephraim, Mt Pleasant, Spring City","[""Timber"",""P-J"",""Hand Piles"",""Machine Piles""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Health &#x2F; Insect Control"",""Property Protection"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency""]",1/13/2020
Hoffman Ranch,5,State,Southeastern Area,Broadcast,38.546,-109.595,3950,12 - Upper Colo. R.,Grand,0,0,No,0.21,Pile Calculator,1,"Moab, Moab, Moab",Light Slash,Drip Torch,Debris Removal,Increase Combustion Efficiency,1/8/2020
Peter Springs,7,State,Southeastern Area,Piles,37.986,-109.352,6817,"15 - San Juan R.
",San Juan,0,0,No,,Pile Calculator,1,,Dormant Brush/Slash,Drip Torch,Fuel Reduction (Activity Fuels),Increase Combustion Efficiency,11/27/2019
Upper Weber Canyon,35,State,Northeastern Area,Piles,40.787,-110.992,7800,"16 - Above 6,500 feet
",Summit,0,0,No,0.49,Pile Calculator,1,,Light Slash,Drip Torch,Hazard Reduction,Increase Combustion Efficiency,11/21/2019
UTTR RX- Lakeside Road,1150,DOD,Utah Military Bases,Broadcast,41.05,-112.926,4400,1 - N. West Desert,Box Elder,0,0,No,12,"[""BlueSky""]",1,"Military Base Facilities, MagCorps, Interstate 80","[""Short Grass""]","[""Drip Torch""]","[""Vegetation Type Manipulation/Stand Improvement""]","[""Reduce Fuel Load""]",9/19/2019
Lower Fish Creek,195,State,Southeastern Area,Piles,39.767,-110.957,7477,"16 - Above 6,500 feet",Carbon,FALSE,FALSE,No,2.4669,"[""Pile Calculator""]",TRUE,Scofield Town ,"[""Timber""]","[""Drip Torch""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",8/14/2019
Abajo Peak ,11,USFS,Manti-La Sal North Zone,Piles,37.84,-109.461,11000,"16 - Above 6,500 feet
",San Juan,0,0,Yes,352,SASEM,1,"Monticello , Blue mountain ranch ",Timber,Drip Torch,Debris Removal,Increase Combustion Efficiency,6/24/2019
Red Ryder,8708,USFS,UWC NF North Zone,Broadcast,41.888,-111.451,6770,"16 - Above 6,500 feet",Rich,FALSE,FALSE,No,793,"[""BlueSky""]",TRUE,,"[""Timber""]","[""Helitorch""]","Fire Dependent Ecosystem Maintenance, Fuel Reduction (Natural Fuels), Wildlife Habitat Improvement","[""Increase Combustion Efficiency""]",5/6/2019
Fremont Aspen Rx,420,BLM,Color Country District,Broadcast,38.063,-112.521,7388,"16 - Above 6,500 feet",Beaver,FALSE,FALSE,No,406.71,"[""BlueSky""]",TRUE,,"[""Grass"",""Brush"",""Timber""]","[""Drip Torch""]","[""Hazard Reduction"",""Wildlife Habitat Improvement"",""Property Protection"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency""]",4/4/2019
Signal Peak Rx,14503,USFS,Fishlake NF Richfield,Broadcast,38.625,-112.044,7000,"16 - Above 6,500 feet
",Sevier,0,0,Yes,102.76,"[""FOFEM5""]",1,,"[""Timber""]","[""Aerial""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",3/18/2019
Test 2019,100,DAQ,UWC NF South Zone,Broadcast,39.383,-111.683,5000,1 - N. West Desert,Beaver,0,0,No,2,"[""BlueSky""]",1,Centroid,"[""Short Grass""]","[""Drip Torch""]","[""Debris Removal""]","[""Increase Combustion Efficiency""]",3/14/2019
Pariette,606,BLM,Green River District,Broadcast,40.03,-109.771,4600,9 - Uinta Basin,Uintah,FALSE,FALSE,Sometimes,10,"[""Other""]",TRUE,"Ouray, UT","[""Short Grass""]","[""Drip Torch""]","[""Habitat Maintenance""]","[""Increase Combustion Efficiency""]",3/14/2019
Blacks Fork RX (Mountain View R.D),1500,USFS,UWC NF East Zone,Broadcast,40.963,-110.574,8000,"16 - Above 6,500 feet",Uintah,FALSE,FALSE,No,400,NULL,TRUE,,"[""Timber""]","[""Helitorch""]",NULL,NULL,3/6/2019
Brushy Basin piles ,26,USFS,Manti-La Sal South Zone,Piles,37.758,-109.528,7000,"16 - Above 6,500 feet
",San Juan,0,0,No,1.7,SASEM,1,"Monticello , Blanding ",Heavy Slash,Drip Torch,Fuel Reduction (Activity Fuels),Increase Combustion Efficiency,2/13/2019
The Pines,5935,USFS,Manti-La Sal North Zone,Broadcast,38.983,-111.342,7700,"16 - Above 6,500 feet",Emery,FALSE,FALSE,No,304,"[""BlueSky""]",TRUE,Emery,"[""Grass"",""Timber Litter""]","[""Drip Torch""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Project Maintenance""]","[""Increase Combustion Efficiency""]",2/12/2019
Fish Creek of Lake Fork,550,USFS,Ashley NF West Zone,Broadcast,40.582,-110.498,7600,"16 - Above 6,500 feet
",Duchesne,0,0,No,242.31,Other,1,"Bluebell, Moon Lake Campground and Resort, Altamont, Altonah, Mountain Home, Private In-Holding Residences",Timber,PSD,"Wildlife Habitat Improvement, Historical Scene Maintenance, Hazard Reduction, Habitat Maintenance, Fuel Reduction (Natural Fuels), Fire Dependent Ecosystem Maintenance",Increase Combustion Efficiency,1/30/2019
Lowrey Water,55,State,Southeastern Area,Piles,39.359,-111.275,7100,"16 - Above 6,500 feet
",Emery,0,0,No,0.01,"[""Other""]",1,,"[""Light Slash""]","[""Drip Torch""]","[""Debris Removal""]","[""Increase Combustion Efficiency""]",1/10/2019
West Desert District Piles,50,BLM,West Desert District,Piles,40.324,-112.623,5216,1 - N. West Desert,Tooele,0,0,Yes,0.4,Other,1,"Terra, UT & HWY 199",Light Slash,Drip Torch,Hazard Reduction,Increase Combustion Efficiency,12/19/2018
Ephraim Willow project,50,State,Central Area,Piles,39.335,-111.526,6700,"10 - San Pitch R.
",Sanpete,0,0,Yes,,"[""FOFEM5""]",1,"Manti Municipality , Ephraim Municipality ","[""Chaparral""]","[""Hand""]","[""Fuel Reduction (Natural Fuels)""]","[""Increase Combustion Efficiency""]",10/30/2018
Old Pinery,25,State,Central Area,Piles,39.671,-111.774,6743,"16 - Above 6,500 feet
",Juab,0,0,Yes,0.5,Other,1,"Nephi, Fountain Green",Chaparral,Drip Torch,Debris Removal,Increase Combustion Efficiency,10/12/2018
Church Farm Hills,40,State,Central Area,Piles,39.682,-111.829,5249,"8 - S. Wasatch Front
",Juab,0,0,No,,NULL,1,,Chaparral,Drip Torch,NULL,NULL,10/12/2018
Warr Rx,9,State,Wasatch Front Area,Broadcast,40.596,-112.371,4393,1 - N. West Desert,Tooele,1,0,Yes,0.5,Other,1,"Grantsville, Erda / Tooele Valley Airport",Short Grass,Drip Torch,"Exotic or Undesireable Species Control, Fuel Reduction (Activity Fuels), Seed Bed Preparation, Hazard Reduction",Increase Combustion Efficiency,6/27/2018
SR112 Fence Line,5,State,Wasatch Front Area,Broadcast,40.585,-112.408,4304,1 - N. West Desert,Tooele,1,0,Yes,1,Other,1,"Erda, UT, Grantsville UT, Erda, Grantsville",Tall Grass,Drip Torch,"Property Protection, Hazard Reduction, Debris Removal",Increase Combustion Efficiency,4/25/2018
Pelican Pond,15,State,Bear River Area,Broadcast,41.692,-111.917,4439,"4 - Cache/Bear R.
",Cache,0,0,Yes,0.25,Other,1,,Tall Grass,Drip Torch,Hazard Reduction,Increase Combustion Efficiency,3/26/2018
3H Dike,10,FWS,Rocky/Basin Refuges,Broadcast,41.463,-112.226,4220,1 - N. West Desert,Box Elder,0,0,No,,NULL,1,,Short Grass,Drip Torch,NULL,NULL,3/12/2018
Alder ,1283,State,Wasatch Front Area,Broadcast,40.431,-112.476,5312,1 - N. West Desert,Tooele,1,0,No,90,BlueSky,1,"South Rim, Rush Valley",Short Grass,Drip Torch,"Debris Removal, Fuel Reduction (Natural Fuels), Habitat Maintenance, Hazard Reduction, Seed Bed Preparation, Vegetation Type Manipulation/Stand Improvement, Wildlife Habitat Improvement",Increase Combustion Efficiency,3/8/2018
Lion Hill,300,State,Wasatch Front Area,Piles,40.008,-112.488,6187,1 - N. West Desert,Tooele,1,0,No,3.8,Other,1,"Vernon, Faust",Light Slash,Drip Torch,"Debris Removal, Fuel Reduction (Natural Fuels), Habitat Maintenance, Hazard Reduction, Seed Bed Preparation, Vegetation Type Manipulation/Stand Improvement",Increase Combustion Efficiency,3/1/2018
Sunset North,5817,USFS,Dixie NF Powell,Broadcast,37.635,-112.361,7000,"16 - Above 6,500 feet
",Garfield,0,0,No,,NULL,1,,Hardwood Litter,Drip Torch,NULL,NULL,2/22/2018
Stump Springs Block 4 PJ/Pine,800,USFS,Dixie NF Pine Valley,Broadcast,37.692,-111.841,6800,"16 - Above 6,500 feet
",Garfield,0,0,No,,NULL,1,,Hardwood Litter,Other Ignition Method,NULL,NULL,2/22/2018
Sawyer Point,1700,USFS,Dixie NF Cedar City,Understory,37.536,-112.52,7090,"16 - Above 6,500 feet
",Iron,0,0,No,300,"[""Other""]",1,"Utah State Highway 89, Hatch, Utah, Hatch, Highway 89","[""Light Slash""]","[""Other Ignition Method""]","[""Hazard Reduction""]","[""Increase Combustion Efficiency""]",2/22/2018
Henrie Knolls North,12546,USFS,Dixie NF Powell,Understory,37.6,-112.657,7900,"16 - Above 6,500 feet
",Iron,0,0,No,2000,Other,1,"Duck Creek Village, Mammoth Creek Subdivision, Duck Creek Village, Mammoth Creek Subdivision",Hardwood Litter,Other Ignition Method,Fire Dependent Ecosystem Maintenance,Increase Combustion Efficiency,2/22/2018
East Fork/Daves Hollow,625,USFS,Dixie NF Cedar City,Understory,37.653,-112.168,7700,"16 - Above 6,500 feet
",Garfield,0,0,No,,NULL,1,,Hardwood Litter,Other Ignition Method,NULL,NULL,2/22/2018
Blue Fly,3615,USFS,Dixie NF Pine Valley,Understory,37.605,-112.263,7800,"16 - Above 6,500 feet
",Garfield,0,0,No,600,Other,1,"Bryce Canyon Airport, Bryce Canyon National Park, Bryce Canyon City, Tropic City, Panguitch City, Bryce Canyon City, Bryce Canyon Airport",Hardwood Litter,Other Ignition Method,Fuel Reduction (Natural Fuels),Increase Combustion Efficiency,2/22/2018
Upper Santa Clara Broadcast,500,USFS,Dixie NF Cedar City,Understory,37.377,-113.457,6700,"16 - Above 6,500 feet
",Washington,0,0,No,220,BlueSky,1,,Timber,Other Ignition Method,Fuel Reduction (Natural Fuels),Reduce Fuel Load,2/20/2018
Mud Springs,7280,USFS,Dixie NF Cedar City,Understory,37.731,-112.212,7800,"16 - Above 6,500 feet
",Garfield,0,0,No,,NULL,1,,Hardwood Litter,Other Ignition Method,NULL,NULL,2/20/2018
Grass Valley,9000,USFS,Dixie NF Cedar City,Understory,37.425,-113.46,7500,"16 - Above 6,500 feet
",Washington,0,0,No,,NULL,1,,Timber,Other Ignition Method,NULL,NULL,2/20/2018
Deer Springs,3352,USFS,Dixie NF Cedar City,Understory,37.416,-112.306,6900,"16 - Above 6,500 feet
",Garfield,0,0,No,,NULL,1,,Hardwood Litter,Other Ignition Method,NULL,NULL,2/20/2018
Trail Mtn Broadcast,4500,USFS,Manti-La Sal North Zone,Broadcast,39.321,-111.229,7500,"16 - Above 6,500 feet",Emery,FALSE,FALSE,No,1136,"[""SASEM""]",TRUE,"Rhino Mine, Price, Huntington, Castle Dale/Orangeville, Castle Dale/Orangeville, Huntington, Rhino Mine, Price, SUFCO Mine, Skyline Mine","[""Timber"",""P-J"",""Slash""]","[""Drip Torch"",""Helitorch"",""PSD""]","[""Wildlife Habitat Improvement"",""Fire Dependent Ecosystem Maintenance"",""Fuel Reduction (Activity Fuels)"",""Health &#x2F; Insect Control"",""Veg Type Manipulation""]","[""Increase Combustion Efficiency""]",2/14/2018
Ekker Rx,50,State,Wasatch Front Area,Piles,39.981,-112.427,6400,1 - N. West Desert,Tooele,1,0,Yes,1.93,Other,1,"Vernon, Eureka",Light Slash,Drip Torch,"Debris Removal, Exotic or Undesireable Species Control, Fuel Reduction (Natural Fuels), Habitat Maintenance, Hazard Reduction, Project Maintenance, Seed Bed Preparation, Wildlife Habitat Improvement",Increase Combustion Efficiency,2/12/2018
Miller Creek,56,BLM,Canyon Country District,Broadcast,39.497,-111.004,7150,"16 - Above 6,500 feet
",Carbon,0,0,No,,NULL,1,,Dormant Brush/Slash,Drip Torch,NULL,NULL,1/30/2018
