BurnName,AgencyGroup,AgencyID,AdministrativeUnit,ShortPermitNum,PileBcst,AcresAnnMaxProject,PilesAnnMaxProject,Lat,Lon,ActAcres,ActPiles,PileActVolume,PilePctCons
Alamaditas,USFS,RGF,Rio Grande National Forest,55,b,900,,37.12,-106.26,,,,
November,USFS,RGF,Rio Grande National Forest,56,b,150,,37.09,-106.28,,,,
"Conejos Canyon Units 2, 16",USFS,RGF,Rio Grande National Forest,57,p,,3700,37.07,-106.22,,750,85,75
Ptarmigan Meadows,USFS,RGF,Rio Grande National Forest,58,p,,1300,37.84,-107.18,,1015,85,86
Willow Ck,USFS,RGF,Rio Grande National Forest,98,p,,30,37.99,-105.67,,,,
Wolf Beetle,USFS,RGF,Rio Grande National Forest,120,p,,5,37.04,-106.49,,,,
Belle,USFS,RGF,Rio Grande National Forest,125,p,,29,37.84,-107.24,,,,
Bear Creek Piles,USFS,RGF,Rio Grande National Forest,126,p,,13,37.70,-106.63,,,,
Mater,USFS,RGF,Rio Grande National Forest,127,p,,53,37.82,-107.27,,,,
Bighorn/Stateline Unit 1,USFS,RGF,Rio Grande National Forest,201,b,1225,,37.02,-106.18,500,,,
Conejos Canyon Unit 1,USFS,RGF,Rio Grande National Forest,215,b,200,,37.08,-106.23,,,,
Wolf Piles,USFS,RGF,Rio Grande National Forest,310,p,,5,37.02,-106.49,,,,
Little Snake,USFS,RTF,Routt National Forest,207,b,850,,40.94,-106.94,,,,
Seedhouse Broadcast,USFS,RTF,Routt National Forest,243,b,1155,,40.76,-106.79,,,,
Hwy 134 Piles,USFS,RTF,Routt National Forest,269,p,,4300,40.14,-106.58,,251,6283,97
Little Snake North,USFS,RTF,Routt National Forest,273,p,,300,40.98,-106.92,,42,4712,90
Admin Piles,USFS,RTF,Routt National Forest,276,p,,10,40.05,-107.03,,,,
Morrison Creek,USFS,RTF,Routt National Forest,278,p,,250,40.23,-106.83,,,,
Lynx Pass Timber Sales,USFS,RTF,Routt National Forest,281,p,,400,40.16,-106.62,,,,
Gore Pass Admin,USFS,RTF,Routt National Forest,282,p,,100,40.06,-106.58,,,,
Long Park,USFS,RTF,Routt National Forest,283,p,,150,40.05,-106.66,,,,
Gould,USFS,RTF,Routt National Forest,284,p,,30,40.51,-106.03,,,,
FHTR 100,USFS,RTF,Routt National Forest,285,p,,200,40.25,-106.60,,,,
Grouse Mountain,USFS,RTF,Routt National Forest,286,p,,320,40.16,-106.13,,,,
Encampment,USFS,RTF,Routt National Forest,287,p,,25,41.00,-106.82,,8,16000,90
Monument Rock,USFS,RTF,Routt National Forest,288,p,,5,40.76,-106.85,,2,2356,90
Kings Canyon,USFS,RTF,Routt National Forest,290,p,,40,40.91,-106.19,,26,7000,87
Fosset Gulch Piles,USFS,SJF,San Juan National Forest,6,p,,400,37.26,-107.51,,384,107,91
Rito Blanco Piles,USFS,SJF,San Juan National Forest,82,p,,25,37.26,-106.90,,24,6000,100
Mocking Jay,USFS,SJF,San Juan National Forest,90,p,,30,37.41,-108.30,,67,1228,84
McPhee Park,USFS,SJF,San Juan National Forest,96,p,,900,37.62,-108.40,,600,201,95
Guard Station,USFS,SJF,San Juan National Forest,118,b,1500,,37.74,-108.70,196,,,
South Carver,USFS,SJF,San Juan National Forest,119,b,1661,,37.47,-108.34,,,,
Archuleta Creek,USFS,SJF,San Juan National Forest,138,b,1731,,37.15,-107.25,,,,
Chimney Rock,USFS,SJF,San Juan National Forest,140,b,840,,37.18,-107.29,,,,
Devil Creek 2,USFS,SJF,San Juan National Forest,141,b,2150,,37.32,-107.18,,,,
Horsefly,USFS,SJF,San Juan National Forest,143,b,1400,,37.30,-107.33,,,,
Brockover,USFS,SJF,San Juan National Forest,144,b,1500,,37.33,-107.15,840,,,
Pargin,USFS,SJF,San Juan National Forest,212,b,6000,,37.20,-107.41,5868,,,
Trimble Point,USFS,SJF,San Juan National Forest,218,b,1515,,37.60,-108.50,,,,
Turkey Springs Piles,USFS,SJF,San Juan National Forest,275,p,,500,37.32,-107.15,,10,90,95
Upper Lost Piles,USFS,SJF,San Juan National Forest,304,p,,150,37.54,-108.23,,50,565,75
Guard Station Piles,USFS,SJF,San Juan National Forest,305,p,,30,37.72,-108.69,,15,720,75
Chicken Creek Machine Piles,USFS,SJF,San Juan National Forest,313,p,,300,37.42,-108.28,,75,1571,75
Breckenridge West Side,USFS,WRF,White River National Forest,84,p,,2000,39.50,-106.04,,802,151,89
Indian Creek Salvage,USFS,WRF,White River National Forest,92,p,,500,39.71,-106.40,,17,2300,95
Breckenridge Hand 2013,USFS,WRF,White River National Forest,93,p,,11000,39.55,-106.04,,1548,300,88
Battlement Mesa,USFS,WRF,White River National Forest,107,b,2500,,39.34,-108.03,,,,
Aldrich Lakes,USFS,WRF,White River National Forest,109,b,2500,,40.25,-107.50,,,,
Miller Creek (LK Ranch RX),USFS,WRF,White River National Forest,110,b,2500,,39.83,-107.80,2425,,,
Summit North,USFS,WRF,White River National Forest,113,p,,800,39.73,-106.13,,156,85,90
Avalanche Creek,USFS,WRF,White River National Forest,132,b,1100,,39.24,-107.21,518,,,
Hunter Creek,USFS,WRF,White River National Forest,171,b,1110,,39.21,-106.77,900,,,
Baylor,USFS,WRF,White River National Forest,296,p,,40,39.31,-107.40,,34,3770,90
Eagle West,USFS,WRF,White River National Forest,303,p,,730,40.07,40.07,,480,85,92
Leadville Hatchery,USFWS,ALR,Alamosa National Wildlife Refuge,9,p,,42,39.22,-106.38,,,,
Alamosa NWR Unit B/L,USFWS,ALR,Alamosa National Wildlife Refuge,272,b,330,,37.44,-105.81,,,,
Crestone Creek,USFWS,BAR,Baca National Wildlife Refuge,150,p,,14,37.98,-105.72,,,,
Baca West,USFWS,BAR,Baca National Wildlife Refuge,151,b,1650,,37.94,-105.83,,,,
Brown's Park NWR Piles,USFWS,BPR,Browns Park National Wildlife Refuge,162,p,,500,40.80,-108.94,,,,
Ryegrass,USFWS,BPR,Browns Park National Wildlife Refuge,164,b,200,,40.85,-109.03,70,,,
McKnight's,USFWS,BPR,Browns Park National Wildlife Refuge,208,b,200,,40.86,-109.02,,,,
Refuges' Admin Piles,USFWS,MVR,Monte Vista National Wildlife Refuge,149,p,,3,40.95,-105.05,,,,
Monte Vista NWR Unit 14,USFWS,MVR,Monte Vista National Wildlife Refuge,271,b,305,,37.48,-106.13,,,,
Arsenal Piles,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,48,p,,200,39.86,-104.87,,6,773,100
Arsenal Broadcast,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,49,b,2500,,39.89,-104.76,1988,,,
