BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
Sledgehammer 4 Thinning/Fuelwood,17,USFS,PSF,Pike/San Isabel National Forests,p,,600,,2293.3,34,71.00,95.00,0,0,13,S,72,W,22
Sledgehammer 4 Stewardship Contract,18,USFS,PSF,Pike/San Isabel National Forests,p,,55,,0,,,,0,0,13,S,72,W,22
Highway 67 Piles,56,USFS,PSF,Pike/San Isabel National Forests,p,,1000,,162229.8522,387,443.00,94.63,0,0,11,S,69,W,23
O'Brien RX - Units P1-4,61,USFS,PSF,Pike/San Isabel National Forests,b,1500,,,0,,,,0,0,13,S,72,W,25
Rampart Piles,62,USFS,PSF,Pike/San Isabel National Forests,p,,1500,,205634.8624,693,314.55,94.34,0,0,11,S,68,W,29
Forebay Piles,103,USFS,PSF,Pike/San Isabel National Forests,p,,3000,,54322.25091,385,151.00,93.44,0,0,11,S,80,W,8
AG Piles,134,USFS,PSF,Pike/San Isabel National Forests,p,,400,,0,,,,0,0,7,S,73,W,21
Shaded Fuel Break,135,USFS,PSF,Pike/San Isabel National Forests,p,,5000,,145338.4977,423,363.14,94.62,0,0,8,S,70,W,19
Twin Lakes,188,USFS,PSF,Pike/San Isabel National Forests,b,150,,,0,,,,0,0,11,S,80,W,30
Shavano,195,USFS,PSF,Pike/San Isabel National Forests,b,2000,,,0,,,,38.61,-106.16,50,N,7,E,2
Four Elk,196,USFS,PSF,Pike/San Isabel National Forests,b,550,,,0,,,,0,0,13,S,79,W,10
O' Haver Lake,197,USFS,PSF,Pike/San Isabel National Forests,b,700,,,0,,,,0,0,48,N,7,E,1
Caylor Gulch RX - Units P1 - 2,221,USFS,PSF,Pike/San Isabel National Forests,b,330,,220,0,,,,0,0,13,S,72,W,5
"Sky Island (P1, 3, 4)",222,USFS,PSF,Pike/San Isabel National Forests,b,1820,,,0,,,,0,0,13,S,72,W,8
Fishcreek - P1,223,USFS,PSF,Pike/San Isabel National Forests,b,200,,,0,,,,0,0,13,S,71,W,18
Road Gulch - Units P1/P2,224,USFS,PSF,Pike/San Isabel National Forests,b,375,,,0,,,,0,0,13,S,72,W,22
Wagon Tongue - Unit P4,225,USFS,PSF,Pike/San Isabel National Forests,b,178,,,0,,,,0,0,13,S,72,W,28
Wagon Tongue - Units 5 & 6,226,USFS,PSF,Pike/San Isabel National Forests,b,735,,,0,,,,0,0,13,S,72,W,20
Wagon Tongue - Units P1-3,227,USFS,PSF,Pike/San Isabel National Forests,b,1250,,,0,,,,0,0,13,S,72,W,14
Trout West,228,USFS,PSF,Pike/San Isabel National Forests,b,1500,,,0,,,,0,0,11,S,69,W,1
Monument Fire Center,250,USFS,PSF,Pike/San Isabel National Forests,p,,200,,0,,,,0,0,11,S,67,W,17
Four Elk Piles,283,USFS,PSF,Pike/San Isabel National Forests,p,,750,,0,,,,0,0,13,S,79,W,15
South Fork Thinnng,21,USFS,RGF,Rio Grande National Forest,p,,14,,0,,,,37.67,-106.66,,,,,
MOAB Salvage,96,USFS,RGF,Rio Grande National Forest,p,,11,,38169,10,4241.00,90.00,37.98,-106.46,43,N,5,E,7
Blue Creek,149,USFS,RGF,Rio Grande National Forest,b,150,,,0,,,,37.78,-106.80,41,N,2,E,19
Alamaditas Fox Creek Rx,150,USFS,RGF,Rio Grande National Forest,b,900,,,0,,,,37.12,-106.26,,,,,
Buffalo Pass Units 3 & 5,151,USFS,RGF,Rio Grande National Forest,b,800,,,0,,,,0,0,45,N,4,E,2
English Valley,152,USFS,RGF,Rio Grande National Forest,b,1100,,,0,,,,37.75,-106.34,,,,,
November Rx Unit 7,158,USFS,RGF,Rio Grande National Forest,b,150,,,0,,,,0,0,33,N,6,E,14
Conejos Canyon WUI Units 9& 19,255,USFS,RGF,Rio Grande National Forest,p,,435,,0,,,,37.08,-106.29,,,,,
Trujillo Meadows,284,USFS,RGF,Rio Grande National Forest,p,,31,,228797.05,31,7769.00,95.00,0,0,32,N,5,E,6
Big Meadows,286,USFS,RGF,Rio Grande National Forest,p,,1,,9330.6,1,31102.00,30.00,37.53,-106.80,38,N,2,E,18
Thirty Mile,287,USFS,RGF,Rio Grande National Forest,p,,12,,9547.2,12,884.00,90.00,0,0,40,N,4,W,13
Bennett Piles,289,USFS,RGF,Rio Grande National Forest,p,,33,,328751.1571,27,15218.85,80.01,0,0,37,N,5,E,4
FHTR 100 Piles,112,USFS,RTF,Routt National Forest,p,,200,,0,,,,0,0,3,N,82,W,5
Gore Lakes,113,USFS,RTF,Routt National Forest,p,,1000,,70510.01424,290,256.98,94.61,0,0,2,N,82,W,36
Gore Pass Admin,114,USFS,RTF,Routt National Forest,p,,100,,0,,,,0,0,1,N,83,W,9
Hwy 134 Piles,115,USFS,RTF,Routt National Forest,p,,4300,,0,,,,0,0,2,N,82,W,16
Owl Mountain North,126,USFS,RTF,Routt National Forest,p,,500,,163814.4,158,1152.00,90.00,40.51,-106.03,6,N,76,W,16
Transfer Station Piles,131,USFS,RTF,Routt National Forest,p,,100,,20542.5,83,275.00,90.00,0,0,2,N,88,W,11
Bear River Piles,132,USFS,RTF,Routt National Forest,p,,40,,2440.00016,13,234.62,80.00,0,0,1,N,86,W,1
Long Park,139,USFS,RTF,Routt National Forest,p,,150,,0,,,,0,0,1,N,83,W,14
Owl Mountain South,142,USFS,RTF,Routt National Forest,p,,500,,556069.6456,321,1888.00,91.75,0,0,5,N,77,W,16
Green Ridge,143,USFS,RTF,Routt National Forest,p,,500,,0,,,,0,0,4,N,78,W,16
Sand Mountain Pile Burn,154,USFS,RTF,Routt National Forest,p,,300,,189569.175,130,1561.17,93.41,0,0,10,N,86,W,16
Pyramid,155,USFS,RTF,Routt National Forest,b,40,,,0,,,,0,0,2,N,88,W,12
Baldy Mountain,160,USFS,RTF,Routt National Forest,b,300,,,0,,,,0,0,2,N,88,W,12
Little Snake Pile Burn,172,USFS,RTF,Routt National Forest,p,,300,,322317.9,57,6283.00,90.00,0,0,10,N,84,W,16
Elk River Pile Burn,173,USFS,RTF,Routt National Forest,p,,300,,237497.4,42,6283.00,90.00,0,0,9,N,85,W,16
Big Creek,229,USFS,RTF,Routt National Forest,b,270,,,0,,,,40.77,-106.56,,,,,
Seedhouse Broadcast,230,USFS,RTF,Routt National Forest,b,1155,,,0,,,,0,0,9,N,84,W,3
Indian Run,254,USFS,RTF,Routt National Forest,b,1100,,,0,,,,0,0,3,N,89,W,9
Steamboat Ski Area,269,USFS,RTF,Routt National Forest,p,,30,,70686,2,39270.00,90.00,0,0,6,N,84,W,23
Buffalo Pass Admin Piles,275,USFS,RTF,Routt National Forest,p,,100,,8648.74989,36,275.00,87.36,0,0,6,N,83,W,16
Lynx Pass,291,USFS,RTF,Routt National Forest,p,,200,,6375,5,1500.00,85.00,0,0,2,N,82,W,16
Big Creek,295,USFS,RTF,Routt National Forest,p,,500,,123025.0013,217,596.77,95.00,40.94,-106.55,,,,,
Animas Mountain Unit 2,52,USFS,SJF,San Juan National Forest,p,,650,,0,,,,37.31,-107.88,,,,,
Electra Lakes,53,USFS,SJF,San Juan National Forest,p,,7000,,0,,,,0,0,38,N,8,W,19
Rabbit Mountain Piles,54,USFS,SJF,San Juan National Forest,p,,350,,0,,,,0,0,35,N,7,W,19
Junction Creek Piles,57,USFS,SJF,San Juan National Forest,p,,4,,28274.4,4,7854.00,90.00,37.35,-107.92,36,N,10,W,26
"Piedra Aerial (Davis Creek, First Box)",92,USFS,SJF,San Juan National Forest,b,4500,,,0,,,,37.34,-107.34,,,,,
Brockover,93,USFS,SJF,San Juan National Forest,b,1500,,,0,,,,37.38,-107.13,35,N,3,W,1
Horsefly,94,USFS,SJF,San Juan National Forest,b,1400,,,0,,,,37.30,-107.33,,,,,
Doe Canyon,232,USFS,SJF,San Juan National Forest,b,600,,,0,,,,0,0,40,N,16,W,19
South Carver/Boundary,233,USFS,SJF,San Juan National Forest,b,1000,,,0,,,,0,0,37,N,14,W,10
Sauls Creek,238,USFS,SJF,San Juan National Forest,b,2500,,,0,,,,0,0,35,N,6,W,16
First Notch Units A & B,239,USFS,SJF,San Juan National Forest,b,568,,,0,,,,37.28,-107.40,35,N,5,W,22
Hayden Creek,249,USFS,SJF,San Juan National Forest,b,262,,,0,,,,37.27,-107.46,35,N,5,W,30
Turkey Springs,252,USFS,SJF,San Juan National Forest,p,,1200,,0,,,,37.53,-107.17,,,,,
Chicken Creek,292,USFS,SJF,San Juan National Forest,p,,150,,18592.5002,110,201.00,84.09,37.44,-107.31,,,,,
Haycamp Mesa,293,USFS,SJF,San Juan National Forest,p,,1285,,19899,110,201.00,90.00,0,0,37,N,14,W,3
Prospect,63,USFS,WRF,White River National Forest,p,,80,,349578.15,69,5333.00,95.00,0,0,5,S,77,W,20
Keystone Ranch,64,USFS,WRF,White River National Forest,p,,25,,124258.9,25,5333.00,93.20,0,0,5,S,77,W,27
North Trail,65,USFS,WRF,White River National Forest,p,,230,,19057,85,236.00,95.00,0,0,5,S,81,W,15
Salt Lick,66,USFS,WRF,White River National Forest,p,,90,,143991,30,5333.00,90.00,0,0,5,S,78,W,23
Tigiwon,67,USFS,WRF,White River National Forest,p,,350,,308858.6031,106,3142.00,92.74,0,0,6,S,81,W,14
Marapos Campground,81,USFS,WRF,White River National Forest,p,,75,,0,,,,0,0,3,N,91,W,36
Coulter,82,USFS,WRF,White River National Forest,p,,1,,0,,,,39.75,-107.69,3,S,92,W,27
Ute Creek WRF Piles,84,USFS,WRF,White River National Forest,p,,2,,0,,,,0,0,1,N,90,W,28
Aldrich Lakes,85,USFS,WRF,White River National Forest,b,2000,,,0,,,,0,0,3,N,90,W,4
West Divide,86,USFS,WRF,White River National Forest,b,2000,,,0,,,,0,0,8,S,91,W,33
Avalanche Creek,205,USFS,WRF,White River National Forest,b,500,,,0,,,,39.24,-107.21,,,,,
Chair 12,268,USFS,WRF,White River National Forest,p,,10,,1413.9,1,1571.00,90.00,39.59,-106.53,,,,,
Avanti Flats,273,USFS,WRF,White River National Forest,p,,10,,0,,,,39.62,-106.37,,,,,
Spring Creek,276,USFS,WRF,White River National Forest,p,,55,,12826.9,43,314.00,95.00,39.86,-106.41,,,,,
Ryan Gulch,277,USFS,WRF,White River National Forest,p,,20,,0,,,,39.61,-106.09,,,,,
Sierra Bosque,278,USFS,WRF,White River National Forest,p,,30,,0,,,,39.74,-106.14,,,,,
Unit C1 & D & F1-210,257,USFWS,ALR,Alamosa National Wildlife Refuge,b,555,,3.25,0,,,,37.43,-105.79,,,,,
Home,146,USFWS,ARR,Arapaho National Wildlife Refuge,b,90,,,0,,,,40.71,-106.28,,,,,
Hampton,240,USFWS,ARR,Arapaho National Wildlife Refuge,b,300,,,0,,,,40.69,-106.28,,,,,
Brown's Park Piles,129,USFWS,BPR,Browns Park National Wildlife Refuge,p,,150,,13365,165,90.00,90.00,40.76,-108.89,,,,,
Hoy RX,144,USFWS,BPR,Browns Park National Wildlife Refuge,b,400,,386,0,,,,0,0,10,N,102,W,30
Hog Lake,145,USFWS,BPR,Browns Park National Wildlife Refuge,b,300,,,0,,,,40.83,-108.99,10,N,103,W,8
Arsenal Piles,148,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,p,,220,,0,,,,0,0,2,S,66,W,19
