BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed (FT3),Actual Piles,PileActVolume,PilePctCons
Pikes Peak Piles,33,USFS,PSF,Pike/San Isabel National Forests,p,,25000,38.91,-105,,"135,496.80",1394,108,90
12 Mile,36,USFS,PSF,Pike/San Isabel National Forests,p,,35030,38.02,-105,,"2,659,456.80",10332,286,90
Long Scraggly Piles,37,USFS,PSF,Pike/San Isabel National Forests,p,,1750,39.34,-105.22,,0.00,,,
Gun Barrel,66,USFS,PSF,Pike/San Isabel National Forests,p,,2300,39.32,-105.23,,"154,945.00",1631,100,95
Log Decks,67,USFS,PSF,Pike/San Isabel National Forests,p,,25,39.39,-105.13,,"60,420.00",12,5300,95
Payne Gulch,68,USFS,PSF,Pike/San Isabel National Forests,p,,3000,39.4,-105.5,,"397,860.00",1396,300,95
Scraggy Springs,69,USFS,PSF,Pike/San Isabel National Forests,p,,6000,39.36,-105.21,,"435,149.40",1722,266,95
Night Hawk,71,USFS,PSF,Pike/San Isabel National Forests,p,,3500,39.35,-105.22,,0.00,,,
Morrison Creek,79,USFS,PSF,Pike/San Isabel National Forests,p,,1500,38.96,-106.23,,"21,375.00",75,300,95
Sawmill Piles,80,USFS,PSF,Pike/San Isabel National Forests,p,,60,38.68,-105.89,,"445,312.50",50,9375,95
Cree Creek,81,USFS,PSF,Pike/San Isabel National Forests,p,,500,38.54,-106.22,,"19,095.00",100,201,95
Spruce Creek Piles,82,USFS,PSF,Pike/San Isabel National Forests,p,,600,38.48,-106.14,,"91,443.20",320,304,94
North Divide Piles,84,USFS,PSF,Pike/San Isabel National Forests,p,,28000,39.03,-105.17,,"1,453,053.42",2063,774,91
Round Mtn Force Account Hand Piles,87,USFS,PSF,Pike/San Isabel National Forests,p,,1456,39.06,-105.42,,"250,831.35",693,381,95
Lake George Station,88,USFS,PSF,Pike/San Isabel National Forests,p,,5,38.97,-105.35,,0.00,,,
"Echo Fuels Contract
				PILES",89,USFS,PSF,Pike/San Isabel National Forests,p,,6756,38.89,-105.42,,"328,532.80",808,428,95
Tornado Fuels Contract Landing Piles,90,USFS,PSF,Pike/San Isabel National Forests,p,,5,38.98,-105.43,,"19,950.00",6,3500,95
Road Gulch Hand Piles,91,USFS,PSF,Pike/San Isabel National Forests,p,,4000,38.59,-105.41,,"47,310.00",332,150,95
Turkey Tracks Rx,115,USFS,PSF,Pike/San Isabel National Forests,b,750,,39.13,-105.13,,,,,
Payne Gulch Machine,170,USFS,PSF,Pike/San Isabel National Forests,p,,250,39.41,-105.51,,"8,280.00",10,900,92
Little Morrison,171,USFS,PSF,Pike/San Isabel National Forests,p,,2000,39.35,-105.25,,"570,000.00",2000,300,95
Galleta,174,USFS,PSF,Pike/San Isabel National Forests,b,600,,37.15,-102.8,,,,,
Prairie Chicken,175,USFS,PSF,Pike/San Isabel National Forests,b,300,,37.06,-102.35,300,,,,
Villegreen North,176,USFS,PSF,Pike/San Isabel National Forests,b,1100,,37.25,-103.52,1100,,,,
Packstring,177,USFS,PSF,Pike/San Isabel National Forests,b,600,,37.35,-102.75,,,,,
Carrizo Work Center,181,USFS,PSF,Pike/San Isabel National Forests,p,,4,37.06,-102.35,,0.00,,,
Purgatoire River,182,USFS,PSF,Pike/San Isabel National Forests,p,,6,37.62,-103.6,,0.00,,,
Sand Canyon,183,USFS,PSF,Pike/San Isabel National Forests,p,,50,37.02,-102.82,,0.00,,,
Noddles,188,USFS,PSF,Pike/San Isabel National Forests,b,365,,39.32,-105.13,,,,,
Harris Park,189,USFS,PSF,Pike/San Isabel National Forests,b,1000,,39.53,-105.48,,,,,
Sand Springs,190,USFS,PSF,Pike/San Isabel National Forests,b,280,,39.35,-105.25,,,,,
Wilson Rest,222,USFS,PSF,Pike/San Isabel National Forests,b,975,,38.96,-105.35,,,,,
"Wilson 1,5,7,10",223,USFS,PSF,Pike/San Isabel National Forests,b,450,,38.93,-105.34,,,,,
Beaver Rx Units P1-3,224,USFS,PSF,Pike/San Isabel National Forests,b,250,,38.86,-105.42,,,,,
O'Brien Rx Unit P5&P6,225,USFS,PSF,Pike/San Isabel National Forests,b,1400,,38.96,-105.4,,,,,
Lyons Camp,227,USFS,PSF,Pike/San Isabel National Forests,b,480,,37.02,-102.67,,,,,
Bennett Mountain,281,USFS,PSF,Pike/San Isabel National Forests,b,754,,39.3,-105.15,,,,,
Saloon Gulch,282,USFS,PSF,Pike/San Isabel National Forests,b,8800,,39.52,-105.54,,,,,
North Trout Creek,286,USFS,PSF,Pike/San Isabel National Forests,b,1320,,38.93,-106.04,,,,,
Shavano,287,USFS,PSF,Pike/San Isabel National Forests,b,750,,38.57,-106.17,,,,,
Greenhorn,292,USFS,PSF,Pike/San Isabel National Forests,p,,250,38.04,-105.18,,"10,440.50",35,314,95
San Isabel Workcenter,300,USFS,PSF,Pike/San Isabel National Forests,b,20,,37.98,-105.04,,,,,
Black Mountain Broadcast,301,USFS,PSF,Pike/San Isabel National Forests,b,1315,,37.94,-105.22,,,,,
Black Mtn Piles,302,USFS,PSF,Pike/San Isabel National Forests,p,,300,37.93,-105.22,,"10,868.00",40,286,95
Tanglewood Broadcast,303,USFS,PSF,Pike/San Isabel National Forests,b,80,,38.08,-105.56,,,,,
Jenny Gulch,320,USFS,PSF,Pike/San Isabel National Forests,b,500,,39.28,-105.21,,,,,
East Turquoise,330,USFS,PSF,Pike/San Isabel National Forests,p,,120,39.26,-106.33,,"379,500.00",44,9375,92
Alvarado,334,USFS,PSF,Pike/San Isabel National Forests,p,,8500,38.08,-105.56,,0.00,,,
Poncha Loop,337,USFS,PSF,Pike/San Isabel National Forests,p,,80,38.42,-106.1,,0.00,,,
Black Mesa Piles,73,USFS,RGF,Rio Grande National Forest,p,,500,37.84,-107.21,,0.00,,,
Bottle Rocket Piles,74,USFS,RGF,Rio Grande National Forest,p,,15,37.77,-106.68,,"280,250.00",10,29500,95
"Conejos Canyon Units 2, 16",76,USFS,RGF,Rio Grande National Forest,p,,1000,37.07,-106.22,,"1,056.25",65,25,65
Dyers Creek Piles,77,USFS,RGF,Rio Grande National Forest,p,,7,37.78,-106.6,,"58,759.40",7,8836,95
Mallard & Teal,78,USFS,RGF,Rio Grande National Forest,p,,40,38.23,-106.51,,"12,271.35",7,1885,93
English Valley,214,USFS,RGF,Rio Grande National Forest,b,2000,,37.75,-106.34,,,,,
Alamaditas,215,USFS,RGF,Rio Grande National Forest,b,700,,37.12,-106.26,408,,,,
Bighorn/Stateline Unit 5 & 6,216,USFS,RGF,Rio Grande National Forest,b,1225,,37,-106.19,,,,,
Conejos Canyon Unit 1,217,USFS,RGF,Rio Grande National Forest,b,200,,37.08,-106.23,,,,,
Hot Creek/ Piedrosa Rx,276,USFS,RGF,Rio Grande National Forest,b,1500,,37.34,-106.3,,,,,
Buffalo Pass,277,USFS,RGF,Rio Grande National Forest,b,840,,38.16,-106.51,598,,,,
Cumbres Piles,324,USFS,RGF,Rio Grande National Forest,p,,1600,37.04,-106.47,,"68,000.00",1000,85,80
Easy Money Piles,341,USFS,RGF,Rio Grande National Forest,p,,9,37.96,-106.64,,0.00,,,
Spruce Park Piles,342,USFS,RGF,Rio Grande National Forest,p,,16,37.02,-106.48,,0.00,,,
El Gato Piles,343,USFS,RGF,Rio Grande National Forest,p,,60,37.05,-106.49,,0.00,,,
Little Snake North,53,USFS,RTF,Routt National Forest,p,,300,40.98,-106.92,,0.00,,,
Admin Piles,54,USFS,RTF,Routt National Forest,p,,10,40.05,-107.02,,"3,534.75",3,1571,75
Hwy 134 Piles,55,USFS,RTF,Routt National Forest,p,,4300,40.14,-106.58,,"25,132.00",4,6283,100
Monument Rock,56,USFS,RTF,Routt National Forest,p,,200,40.76,-106.85,,"46,059.80",23,2356,85
North Routt,57,USFS,RTF,Routt National Forest,p,,800,40.72,-106.85,,"210,271.75",23,9425,97
Parks RD,58,USFS,RTF,Routt National Forest,p,,500,40.57,-106.6,,"421,517.85",95,4771,93
Steamboat Front,219,USFS,RTF,Routt National Forest,b,3500,,40.56,-106.88,,,,,
Seedhouse Broadcast,228,USFS,RTF,Routt National Forest,b,1155,,40.76,-106.79,,,,,
Little Snake,229,USFS,RTF,Routt National Forest,b,850,,40.94,-106.94,50,,,,
Slackweiss,290,USFS,RTF,Routt National Forest,b,700,,40.4,-106.37,,,,,
Engler Piles RX,51,USFS,SJF,San Juan National Forest,p,,150,37.36,-107.64,,"40,320.00",175,256,90
Rockwood Piles RX,52,USFS,SJF,San Juan National Forest,p,,100,37.48,-107.81,,"11,520.00",50,256,90
Lower Piedra Piles,92,USFS,SJF,San Juan National Forest,p,,75,37.16,-107.18,,"16,815.00",75,236,95
Archuleta Creek Aerial,194,USFS,SJF,San Juan National Forest,b,1731,,37.15,-107.25,,,,,
Brockover,195,USFS,SJF,San Juan National Forest,b,1500,,37.33,-107.15,1005,,,,
Brockover II,196,USFS,SJF,San Juan National Forest,b,2500,,37.31,-107.15,1380,,,,
Lake Canyon,198,USFS,SJF,San Juan National Forest,b,3500,,37.72,-108.69,2700,,,,
South Carver,199,USFS,SJF,San Juan National Forest,b,1661,,37.47,-108.34,440,,,,
Devil Creek 2,249,USFS,SJF,San Juan National Forest,b,2150,,37.32,-107.18,,,,,
Fawn Gulch,250,USFS,SJF,San Juan National Forest,b,1800,,37.3,-106.95,,,,,
Horsefly,251,USFS,SJF,San Juan National Forest,b,1400,,37.3,-107.33,138,,,,
Mill Creek SJF,252,USFS,SJF,San Juan National Forest,b,650,,37.26,-106.88,,,,,
Chimney Rock,254,USFS,SJF,San Juan National Forest,b,840,,37.18,-107.29,85,,,,
Boggy Draw,256,USFS,SJF,San Juan National Forest,b,8655,,37.56,-108.43,3697,,,,
VP Unit 1,280,USFS,SJF,San Juan National Forest,b,5771,,37.28,-107.41,1416,,,,
Pargin,283,USFS,SJF,San Juan National Forest,b,6000,,37.2,-107.41,5820,,,,
Devil Creek Piles,295,USFS,SJF,San Juan National Forest,p,,300,37.32,-107.19,,0.00,,,
Cabazon Piles,296,USFS,SJF,San Juan National Forest,p,,400,37.16,-107.18,,0.00,,,
Turkey Springs Piles,297,USFS,SJF,San Juan National Forest,p,,500,37.32,-107.15,,"19,845.00",450,49,90
Cow Canyon,312,USFS,SJF,San Juan National Forest,p,,1000,37.73,-108.69,,0.00,,,
Fox Den,313,USFS,SJF,San Juan National Forest,p,,1000,37.64,-108.2,,"136,843.20",172,884,90
Joe Rock,314,USFS,SJF,San Juan National Forest,p,,1000,37.43,-108.28,,"29,435.70",107,393,70
Haycamp,331,USFS,SJF,San Juan National Forest,p,,2000,37.49,-108.34,,"26,311.75",205,151,85
Eagle Burn Blocks French Creek,158,USFS,WRF,White River National Forest,b,2500,,39.61,-107.18,1000,,,,
Braderich Creek,207,USFS,WRF,White River National Forest,b,2065,,39.19,-107.3,1000,,,,
Cattle Creek,208,USFS,WRF,White River National Forest,b,2500,,39.49,-107.02,,,,,
Avalanche Creek,209,USFS,WRF,White River National Forest,b,600,,39.24,-107.21,350,,,,
Cherry Creek,244,USFS,WRF,White River National Forest,b,1100,,39.67,-107.63,,,,,
Grizzly Creek Rx,245,USFS,WRF,White River National Forest,b,521,,39.58,-107.27,521,,,,
Vail Intermountain,294,USFS,WRF,White River National Forest,p,,1000,39.62,-106.4,,"23,481.25",325,85,85
Breckenridge FHF - Unit 427,298,USFS,WRF,White River National Forest,p,,1000,39.5,-106.07,,0.00,,,
Keystone Gulch TSI,299,USFS,WRF,White River National Forest,p,,15000,39.58,-105.96,,"124,618.50",905,153,90
Breckenridge FHF - Unit 307,309,USFS,WRF,White River National Forest,p,,500,39.53,-105.99,,0.00,,,
Indian Creek Salvage,310,USFS,WRF,White River National Forest,p,,500,39.69,-106.4,,"100,980.00",66,1800,85
Crestone Creek,157,USFWS,ALR,Alamosa National Wildlife Refuge,p,,30,37.98,-105.72,,,,,
Alamosa Refuge Unit N2/Q,205,USFWS,ALR,Alamosa National Wildlife Refuge,b,1800,,37.39,-105.75,,,,,
Monte Vista & Alamosa Refuges' Admin Piles,159,USFWS,MVR,Monte Vista National Wildlife Refuge,p,,4,37.47,-106.15,,0.00,,,
Monte Vista Unit 18,206,USFWS,MVR,Monte Vista National Wildlife Refuge,b,650,,37.49,-106.06,,,,,
Arsenal Piles,152,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,p,,200,39.86,-104.81,,0.00,,,
Arsenal Broadcast,191,USFWS,RMR,Rocky Mountain Arsenal Wildlife Refuge,b,3500,,39.81,-104.81,1564,,,,

