BurnName,ShortPermitNum,AgencyID,AdministrativeUnit,PileBcst,AcresAnnMaxPERMITTED,PilesAnnMaxPERMITTED,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,Actual Piles,PileActVolume,PilePctCons
Burnt Ridge,259,SJF,San Juan National Forest,p,,318,37.43,-108.167,,"89,372.7",90,1257,79
US 550 Piles,260,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,15,37.963,-107.661,,"65,253.6",12,6042,90
12 Mile,262,PSF,Pike/San Isabel National Forests,p,,26,38.02,-105.0004,,,,,
Black Mtn Piles,263,PSF,Pike/San Isabel National Forests,p,,276,37.91869,-105.0592,,,,,
Vail Piles,264,LCL,Local Government Agency,p,,400,39.644,-106.378,,"2,430.0",9,300,90
Cuchara Piles,265,PSF,Pike/San Isabel National Forests,p,,270,37.3789,-105.11,,,,,
Chucky Bear,266,SJF,San Juan National Forest,p,,700,37.33638,-107.5053,,,,,
Saul's Creek,267,SJF,San Juan National Forest,p,,60,37.26412,-107.5174,,,,,
Wellington Hazardous Fuels Reduction,268,LCL,Local Government Agency,p,,1020,39.48581,-106.0213,,,,,
Blue Ridge Unit 15,269,ARF,Arapaho/Roosevelt National Forests,p,,30,40.02155,-106.0965,,,,,
Sylvan Lake Rx,270,SPW,Colorado State Parks,p,,2,39.48264,-106.7331,,,,,
Deer Creek,271,RTF,Routt National Forest,p,,100,40.19333,-106.549,,,,,
CANM Piles,272,SWD,Southwest District Office,p,,400,37.3349,-109.0189,,,,,
EAGLE Ranch Piles,273,LCL,Local Government Agency,p,,100,39.747,-106.833,,,,,
Soap Creek,274,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,100,38.3,-107.2,,,,,
Slumgullion Piles,275,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,100,37.9754,-107.187,,,,,
Pitkin,276,GMF,Grand Mesa/Uncompahgre/Gunnison Nat'l Forests,p,,50,38.6163,-106.555,,,,,
Summit Lake,277,SWD,Southwest District Office,p,,60,37.41,-108.389,,,,,

